"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","एई",2.25979859316436,2.32826203944166,3.61966844096483,2.29403031630301,1.70598306485435
"2","मलीन",2.77554925024015,2.12414205678573,2.45442198941271,2.44984565351294,1.86420861132282
"3","धीरु",1.85677905896305,1.90229330716938,2.04172298098905,1.87953618306621,1.28507738307924
"4","कदो",0.927360133248754,1.90229330716938,1.513449203822,1.41482672020907,0.813179622394926
"5","दैनंदिनी",1.52942012457672,1.7262020481137,1.58039599345262,1.62781108634521,1.02945850947089
"6","निकालने",4.39251983089493,4.29791087992238,4.72586433135916,4.34521535540866,3.7888965927002
"7","पीड़ा",0.927360133248754,3.69468499666763,4.12384317353432,2.31102256495819,1.72323815589569
"8","जोगा",2.10345139230443,2.20332330283336,3.71404893477134,2.1533873475689,1.56316457866823
"9","ईश्वरी",2.51842474027525,2.6012633115054,3.41415762481973,2.55984402589032,1.97590847920298
"10","चिकित्सालय",3.627197859116,3.1494479220505,4.75849895333128,3.38832289058325,2.8172025613574
"11","प्रगतिशील",3.56734438129034,3.5490236934168,3.85153200360011,3.55818403735357,2.98969118316286
"12","प्रस्तावित",3.79659185297973,2.93032203076962,4.61017098176736,3.36345694187467,2.79195197695845
"13","कुशीनगर",3.72045173342533,3.28250454888098,4.51304186177379,3.50147814115316,2.93210813918943
"14","बेपरवाह",3.39496823883239,3.12414205678573,3.39247336430913,3.25955514780906,2.68644299151797
"15","सप्लायर",2.91636474894729,2.62929203510564,3.25265882555249,2.77282839202646,2.19218736627895
"16","शराब",5.10101250793802,4.69468499666763,5.38224910435019,4.89784875230283,4.35007832734865
"17","शीशे",3.65652492294152,3.54244334810548,4.00806753999012,3.5994841355235,3.0316301265246
"18","बंसीधर",1.96875281840698,2.20332330283336,2.10866977061966,2.08603806062017,1.49477350804232
"19","क्षणों",3.29935104471367,2.74739134718363,3.24281650901478,3.02337119594865,2.44660565894624
"20","कत्था",1.52942012457672,1.90229330716938,2.48926381930352,1.71585671587305,1.11886606135671
"21","अमृतसर",3.56183740340949,3.2245126019033,4.95586037402644,3.39317500265639,2.82212972769446
"22","घेरते",2.73354010723264,2.87233008379193,2.83133850773379,2.80293509551229,2.22275977138814
"23","रिर्पोट",2.7055113836324,2.76759473327192,3.23891842505621,2.73655305845216,2.15535091242982
"24","मोहते",0.927360133248754,1.7262020481137,1.42327257347292,1.32678109068122,0.723772070509113
"25","उलटने",1.80242139664045,2.02723204377768,1.86563172193337,1.91482672020907,1.32091380730153
"26","जसविंदर",2.21739474461127,1.7262020481137,4.18101888685159,1.97179839636248,1.37876674241057
"27","मुद्रांक",2.05769390174376,1.7262020481137,2.53807167873034,1.89194797492873,1.29768116512833
"28","बेमौसमी",2.48366263401604,1.7262020481137,3.22437711593615,2.10493234106487,1.5139600522043
"29","खालिद",4.28889910451803,3.53238202209758,3.93771815121639,3.91064056330781,3.34759963700363
"30","बनवासी",2.11769183141905,2.42517205244971,2.53463850289194,2.27143194193438,1.68303513047381
"31","कैसिनो",1.32530014192079,2.02723204377768,2.06520407683857,1.67626609284923,1.07866303593483
"32","मूर्तिमान",1.5805726470241,1.7262020481137,1.67730600646067,1.6533873475689,1.05543039376163
"33","स्लाइड्स",0.927360133248754,1.7262020481137,1.57257065594066,1.32678109068122,0.723772070509113
"34","नंबरों",2.99181812247567,2.74739134718363,3.89909270957619,2.86960473482965,2.29046068134178
"35","बुदेलखंड",1.22839012891273,2.02723204377768,1.76162689216071,1.62781108634521,1.02945850947089
"36","सुसंस्कारित",2.17039818193505,1.90229330716938,2.03903384247827,2.03634574455221,1.44431253285256
"37","चंपा",2.9229953278463,3.01623665947621,3.65607327577093,2.96961599366126,2.39201895131048
"38","धाटी",1.22839012891273,1.7262020481137,1.41199156306323,1.47729608851322,0.876615289990002
"39","स्पष्टी",0.927360133248754,1.7262020481137,1.2635717306054,1.32678109068122,0.723772070509113
"40","फौजियों",3.12464069137437,3.35459097816401,3.1718581240601,3.23961583476919,2.66619524981018
"41","कलानी",1.62633013758477,2.02723204377768,2.80947417887371,1.82678109068122,1.23150625541571
"42","बाहुबलि",1.77245817326301,2.12414205678573,1.89666595567334,1.94830011502437,1.35490498096674
"43","चायल",2.45883905029101,1.7262020481137,3.5995864905606,2.09252054920235,1.50135627015521
"44","पहुंचाने",4.46543092029193,4.26590528706152,4.76746324823046,4.36566810367672,3.80966571164217
"45","श्रीमद्",3.50485193308598,3.37941456188904,3.73098797973624,3.44213324748751,2.87184527676204
"46","विजयकांत",1.22839012891273,1.7262020481137,2.89366044553361,1.47729608851322,0.876615289990002
"47","लगनशीलता",1.98805797360237,1.7262020481137,2.15027130140918,1.85713001085803,1.26232462391325
"48","जीतेन्द्र",2.33390031368271,2.46656473760794,3.36914498915109,2.40023252564532,1.81382804924575
"49","हथगोले",2.25979859316436,1.90229330716938,2.42660051682184,2.08104595016687,1.48970417777838
"50","असमर्थ",3.71233384320315,3.67559205475861,3.90654890881149,3.69396294898088,3.12757037320806
"51","हलफनामें",0.927360133248754,1.90229330716938,1.85339726551636,1.41482672020907,0.813179622394926
"52","नाइट्स",1.9050837385376,1.7262020481137,2.37002706151969,1.81564289332565,1.22019576830439
"53","जिलेबी",2.05769390174376,2.27027009246397,2.07524601513271,2.16398199710387,1.57392311016025
