"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","दोघे",2.74027348989161,2.37941456188904,4.10522674812821,2.55984402589032,3.09145110144843
"2","विप्लवी",1.40448138796842,1.7262020481137,3.21720050757214,1.56534171804106,2.52583292408835
"3","विषयी",3.08117499759328,2.7262020481137,3.86600390244243,2.90368852285349,3.28701092683305
"4","पत्रिका",4.22719417389461,3.82311206112175,4.849749821048,4.02515311750818,3.92483826518709
"5","ह्याच्या",2.48965299770523,2.20332330283336,3.66716951624819,2.34648815026929,2.97010602206012
"6","हलचल",3.7801450019293,3.51859373761195,4.31252838957032,3.64936936977063,3.71111315183212
"7","जोडून",2.79364747233295,1.7262020481137,3.63820582031287,2.25992476022332,2.92087353007144
"8","तेवढी",2.74027348989161,1.90229330716938,3.68095780073382,2.32128339853049,2.95577094648835
"9","तीला",2.18263263835206,2.20332330283336,3.96113765742468,2.19297797059271,2.88279788074201
"10","पाठीवर",2.40448138796842,2.02723204377768,3.74400954648091,2.21585671587305,2.89581005185877
"11","संस्था",4.45883905029101,4.61857495551213,4.80419675246422,4.53870700290157,4.21691945025802
"12","रानडे",2.07348816892699,2.02723204377768,3.40625674379219,2.05036010635233,2.80168468895357
"13","इबारत",3.15137494462162,2.70392565340254,3.89181116604871,2.92765029901208,3.30063906630559
"14","मांडीवर",1.98805797360237,1.7262020481137,3.62296585375613,1.85713001085803,2.69178604562013
"15","ज़रुरत",3.37914656877304,3.19602406409186,4.13484921473501,3.28758531643245,3.50535029413738
"16","आकांक्षा",3.61175661166777,2.96924009679999,4.22502584508409,3.29049835423388,3.50700706971128
"17","रचना",4.62888494573325,4.39412173343106,5.16078494882941,4.51150333958216,4.20144750379515
"18","छुआ",3.72184817990792,3.64528014048977,4.24768982972004,3.68356416019885,3.73056126661734
"19","वेगाने",2.80817372552954,1.90229330716938,3.99535175795578,2.35523351634946,2.97507990495971
"20","परिसरात",3.16915556454395,2.02723204377768,3.70728673945617,2.59819380416081,3.11326234463642
"21","व्यस्त",4.43067405606464,4.35048414394936,4.71863324937309,4.390579100007,4.13267245174417
"22","सयाने",2.37451816459097,2.7262020481137,3.62296585375613,2.55036010635233,3.08605716999049
"23","मांडणे",1.80242139664045,1.7262020481137,3.25498906846154,1.76431172237707,2.63899611165827
"24","जा",5.9575589698411,5.9741753144755,6.17982809566715,5.9658671421583,5.02860958953289
"25","छलाह",1.5805726470241,1.7262020481137,3.37992780506984,1.6533873475689,2.57590843231493
"26","मैदान",4.73594242789323,4.44262278196025,4.76013904678144,4.58928260492674,4.24568406911369
"27","सर्वांचा",2.48965299770523,2.12414205678573,3.47683781807789,2.30689752724548,2.94758905466996
"28","बिना",5.5376901922651,5.52079464747134,5.60957765633878,5.52924241986822,4.78028147841351
