"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","काजन्म",1.10345139230444,1.7262020481137,0.531177970782436,1.41482672020907,0.813179622394926
"2","कुचि",0.927360133248754,1.7262020481137,0.30932922116608,1.32678109068122,0.723772070509113
"3","मं",3.65894889843549,3.01623665947621,3.25594521642875,3.33759277895585,2.76568773760269
"4","बेहता",1.7055113836324,2.32826203944166,1.08748047154972,2.01688671153703,1.42455250031848
"5","धरती",5.02804077797385,4.99255136010069,4.39452462720886,5.01029606903727,4.46426502076285
"6","लिपिबद्ध",2.43251011156866,2.46656473760794,2.18631640559382,2.4495374245883,1.86389561459918
"7","वितान",1.85677905896305,1.90229330716938,1.56460172626939,1.87953618306621,1.28507738307924
"8","स्पॉटलाइट",1.667722822743,1.7262020481137,0.946151318753254,1.69696243542835,1.09967951719473
"9","आरडीएक्स",2.64751943665471,2.76759473327192,2.48542048022176,2.70755708496332,2.12590641849995
"10","हिन्दूवाला",1.62633013758477,1.7262020481137,0.610359216830061,1.67626609284923,1.07866303593483
"11","फलियो",0.927360133248754,1.7262020481137,0.30932922116608,1.32678109068122,0.723772070509113
"12","सोहार्द",2.08872813548373,2.53911540475655,1.83652934022906,2.31392177012014,1.72618220703525
"13","देखंगे",1.47142817759903,1.7262020481137,0.531177970782436,1.59881511285636,1.00001401554103
"14","जख्",1.32530014192079,1.7262020481137,1.37627601079669,1.52575109501724,0.925819816453936
"15","बारमेर",0.927360133248754,1.7262020481137,0.531177970782436,1.32678109068122,0.723772070509113
"16","जीतो",2.94439347254753,3.39365500100365,2.81583425357095,3.16902423677559,2.59451171487311
"17","जिंदादिल",2.80530708487794,3.0586405080293,2.10866977061966,2.93197379645362,2.35379449067585
"18","वासद",1.32530014192079,1.90229330716938,0.786450475885742,1.61379672454508,1.01522736833975
"19","मैका",1.94854943231869,2.27027009246397,1.40040969051341,2.10940976239133,1.51850673193965
"20","पासवां",0.927360133248754,1.7262020481137,0.531177970782436,1.32678109068122,0.723772070509113
"21","चमकाना",2.89114796059431,3.09726991038543,2.13755933589304,2.99420893548987,2.41699230585809
"22","बटवारे",3.07503645748985,3.40289565773856,2.85628295375384,3.23896605761421,2.66553542166186
"23","किडनैप",3.30027213621886,2.91653374628399,2.20142382385656,3.10840294125142,2.53295270673122
"24","बणाया",1.47142817759903,2.27027009246397,0.946151318753254,1.8708491350315,1.27625596057295
"25","सम्पाती",1.10345139230444,1.90229330716938,1.17463064726862,1.50287234973691,0.90258717428074
"26","बंधेगे",0.927360133248754,1.7262020481137,0.946151318753254,1.32678109068122,0.723772070509113
"27","मूढा",1.62633013758477,2.02723204377768,1.33735794476632,1.82678109068122,1.23150625541571
"28","राष्ट्रविरोधियों",2.47142817759903,2.12414205678573,1.29460596434537,2.29778511719238,1.70979594639245
"29","सम्वेदन",0.927360133248754,1.7262020481137,0.30932922116608,1.32678109068122,0.723772070509113
"30","सीस",2.93808399864053,2.8565358166087,1.95931276481122,2.89730990762461,2.31859440799528
"31","बबुल",1.92736013324875,2.53911540475655,1.3507219063243,2.23323776900265,1.64425015595046
"32","एंटरटेनर",2.28908796926635,1.90229330716938,1.37627601079669,2.09569063821786,1.50457539527995
"33","शिखक",1.10345139230444,1.90229330716938,1.17463064726862,1.50287234973691,0.90258717428074
"34","दिवा",3.11346851306196,2.50435329849734,2.67356743690127,2.80891090577965,2.22882801769866
"35","वालपेपर",1.5805726470241,2.02723204377768,1.03632794910234,1.80390234540089,1.20827361324252
"36","शेखो",2.43251011156866,2.12414205678573,1.74602181883013,2.2783260841772,1.69003591385838
"37","कजन",2.14484407746266,2.02723204377768,1.72983505773686,2.08603806062017,1.49477350804233
"38","मेडिकली",2.21739474461127,1.90229330716938,1.57257065594066,2.05984402589032,1.46817429429638
"39","बांचा",1.10345139230444,2.02723204377768,1.0082992255021,1.56534171804106,0.966022841875816
"40","कक्षाएँ",1.8304501202407,1.90229330716938,0.832207966446417,1.86637171370504,1.27170928083759
"41","मौहल्ले",2.85677905896305,2.32826203944166,2.44393127445376,2.59252054920235,2.00909045506181
"42","मेहलों",1.32530014192079,1.90229330716938,1.30932922116608,1.61379672454508,1.01522736833975
"43","ऊंगलियां",1.40448138796842,1.7262020481137,1.3507219063243,1.56534171804106,0.966022841875816
"44","राजनेताओं",3.73115854123843,4.07741839345304,3.61288524087978,3.90428846734573,3.34114928447213
"45","जबाबी",2.02427014625681,2.57130008812795,1.8492413057452,2.29778511719238,1.70979594639245
"46","निस्संदेह",2.92952619500526,3.19602406409186,2.2488484737847,3.06277512954856,2.48661910716317
"47","टटा",1.10345139230444,1.90229330716938,0.43426795777438,1.50287234973691,0.90258717428074
"48","अरेबियन",2.19453186165177,2.53911540475655,2.01405155439119,2.36682363320416,1.77990237570126
"49","सुनयोजित",1.10345139230444,1.7262020481137,0.978336002124655,1.41482672020907,0.813179622394926
"50","मैंगोमैन",0.927360133248754,1.7262020481137,0.531177970782436,1.32678109068122,0.723772070509113
"51","वॉ",2.39718214922692,2.62929203510564,1.75128605882249,2.51323709216628,1.92858061219223
"52","हसाएंगे",0.927360133248754,1.90229330716938,0.946151318753254,1.41482672020907,0.813179622394926
"53","टिपनी",1.32530014192079,2.32826203944166,0.832207966446417,1.82678109068122,1.23150625541571
