"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","छतीसगढ",2.51282086275725,2.65562097382799,2.77786781374188,2.58422091829262,3.10531533619326
"2","दलितविरोधी",1.32530014192079,1.7262020481137,2.47683781807789,1.52575109501724,2.5033159566982
"3","पिलाने",3.6839962414946,3.60701564039449,3.79905711281181,3.64550594094454,3.70891584615096
"4","किसो",1.62633013758477,2.42517205244971,2.47683781807789,2.02575109501724,2.78768843773512
"5","अभीनय",1.32530014192079,1.90229330716938,2.47683781807789,1.61379672454508,2.55339146492478
"6","हमाए",2.21739474461127,1.90229330716938,2.77786781374188,2.05984402589032,2.80707862041151
"7","निवार",2.6982121448909,2.46656473760794,2.77786781374188,2.58238844124942,3.10427312410682
"8","सिंघल",3.5537005006238,2.80538329416132,3.28975117472075,3.17954189739256,3.44390114387321
"9","लताओ",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"10","गोमेद",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"11","ओतला",1.10345139230444,1.7262020481137,2.77786781374188,1.41482672020907,2.44022827735485
"12","काफ",2.85932624797693,2.12414205678573,2.65292907713358,2.49173415238133,3.05271395402271
"13","क्लॉक",2.02427014625681,2.20332330283336,2.77786781374188,2.11379672454508,2.8377639459617
"14","लीजिय",2.11769183141905,2.02723204377768,2.47683781807789,2.07246193759836,2.81425499412735
"15","हसीन",3.99850542369984,3.66572130073231,4.10522674812821,3.83211336221608,3.81504787688473
"16","बेवकूफाना",1.92736013324875,2.53911540475655,2.47683781807789,2.23323776900265,2.90569543826178
"17","ग़लतफ़हमी",0.927360133248754,2.42517205244971,3.07889780940586,1.67626609284923,2.5889206034317
"18","दुष्प्रभावित",1.52942012457672,1.7262020481137,2.65292907713358,1.62781108634521,2.56136206259527
"19","बुढा",3.31117549922919,3.35967050369328,3.07889780940586,3.33542300146123,3.53255773649478
"20","टक्केवारी",2.41872182708303,1.90229330716938,2.87477782674993,2.1605075671262,2.86433050235393
"21","शुभकामनाएँ",4.89665953467463,3.9123104279269,3.89181116604871,4.40448498130077,4.1405813516732
"22","पिलायी",2.28908796926635,2.02723204377768,3.13005033185324,2.15816000652201,2.86299533908713
"23","स्यापे",1.32530014192079,1.7262020481137,2.95395907279756,1.52575109501724,2.5033159566982
"24","साधवी",1.47142817759903,2.70392565340254,2.47683781807789,2.08767691550079,2.82290843615742
"25","सिंदूर",3.45434520180875,3.3494513385116,3.79905711281181,3.40189827016017,3.5703652106698
"26","भगनी",1.52942012457672,1.90229330716938,2.47683781807789,1.71585671587305,2.61143757082185
"27","भरणारा",1.5805726470241,1.7262020481137,2.65292907713358,1.6533873475689,2.57590843231493
"28","परसांत",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"29","ऑडीओ",2.61310187185102,1.90229330716938,2.65292907713358,2.2576975895102,2.91960683794867
"30","रुला",3.78889454410779,4.39318776644336,3.55601906412552,4.09104115527557,3.96231175472822
"31","पुरबी",1.10345139230444,1.7262020481137,2.65292907713358,1.41482672020907,2.44022827735485
"32","सहृदयता",2.77861848196783,2.27027009246397,3.13005033185324,2.5244442872159,3.07131767841862
"33","रिवाइंड",1.85677905896305,2.20332330283336,2.65292907713358,2.0300511808982,2.7901340899164
"34","रामकृपाल",2.43924349422763,2.12414205678573,2.47683781807789,2.28169277550668,2.9332539790982
"35","सहानुभूतिपूर्ण",1.74027348989161,1.7262020481137,2.47683781807789,1.73323776900265,2.62132295722485
"36","स्वार",2.4524049402856,2.02723204377768,3.28975117472075,2.23981849203164,2.90943819133131
"37","पार्सल",3.20151798251243,2.76759473327192,3.45456142336674,2.98455635789218,3.33300410060512
"38","पीढि़यों",1.22839012891273,1.90229330716938,2.65292907713358,1.56534171804106,2.52583292408835
"39","अनपढ़ी",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"40","जालाए",1.22839012891273,1.7262020481137,2.47683781807789,1.47729608851322,2.47575741586178
"41","दहाड़",4.0117576523899,3.87849039249675,3.68095780073382,3.94512402244333,3.87932212054962
"42","सत्ते",2.6637566355254,2.84014540042053,2.77786781374188,2.75195101797296,3.20071098537459
"43","साहेबांनी",3.43251011156866,2.20332330283336,3.6943217622918,2.81791670720101,3.23822863879277
"44","उपस्तिथ",1.98805797360237,2.02723204377768,2.65292907713358,2.00764500869002,2.77739069235363
"45","गरिया",3.07193434085837,2.90229330716938,3.40625674379219,2.98711382401387,3.33445864657751
"46","बदतरीन",2.42567068703835,2.32826203944166,2.65292907713358,2.37696636324001,2.98744035214022
"47","अनुसन्धान",3.203821937422,2.70392565340254,3.13005033185324,2.95387379541227,3.31555354777116
"48","नारायणदास",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"49","पतिपत्नी",1.9050837385376,2.12414205678573,2.47683781807789,2.01461289766167,2.78135364410255
"50","बुजुर्ग",4.54843250439238,4.24207589182537,4.34016067819835,4.39525419810888,4.13533139023681
"51","सर्वानी",2.32530014192079,2.02723204377768,3.21720050757214,2.17626609284923,2.87329308446862
"52","दबाये",2.85421684219845,3.07838456622506,3.70728673945617,2.96630070421175,3.32262128954501
"53","मुखारबिंद",1.98805797360237,2.27027009246397,2.47683781807789,2.12916403303317,2.84650402524493
"54","हिंदुजा",1.98805797360237,2.12414205678573,2.65292907713358,2.05610001519405,2.80494923319006
"55","नादिरशाही",1.32530014192079,2.20332330283336,2.65292907713358,1.76431172237707,2.63899611165827
"56","कटाक्ष",3.51338451563573,3.9968808842584,3.79905711281181,3.75513269994707,3.77126551304212
"57","कार्टर",2.27954265136012,3.14117539608451,2.77786781374188,2.71035902372231,3.17705574818193
"58","युवावर्ग",2.81666183575506,2.42517205244971,2.95395907279756,2.62091694410239,3.12618601600069
"59","उडायी",2.04130348555559,2.20332330283336,2.47683781807789,2.12231339419447,2.84260775891843
"60","सोबतच",2.65163600284954,1.90229330716938,3.21720050757214,2.27696465500946,2.93056488438532
"61","ज़ोरी",1.667722822743,1.7262020481137,2.47683781807789,1.69696243542835,2.60069154400692
"62","श्यान",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"63","आगाज़",1.10345139230444,2.74739134718363,3.13005033185324,1.92542136974403,2.73062641193973
"64","सत्यों",2.07348816892699,2.02723204377768,3.25498906846154,2.05036010635233,2.80168468895357
"65","आएं",4.18767007904367,4.00723541536142,4.05086908580561,4.09745274720255,3.96595831533556
"66","नेहायत",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"67","प्रयोजनम्",1.667722822743,1.7262020481137,2.65292907713358,1.69696243542835,2.60069154400692
"68","कवनो",2.33390031368271,2.6012633115054,2.77786781374188,2.46758181259405,3.0389774324464
"69","तराशता",2.33390031368271,2.12414205678573,2.77786781374188,2.22902118523422,2.90329727748632
"70","परनाना",2.50139140097647,1.90229330716938,2.47683781807789,2.20184235407292,2.88783945418827
"71","चंगा",3.61799914496472,4.14698266766226,3.37992780506984,3.88249090631349,3.84369985129179
"72","ट्राएंगल",1.667722822743,2.84014540042053,2.47683781807789,2.25393411158176,2.917466378837
"73","अतिक्रमित",2.48366263401604,2.6012633115054,2.77786781374188,2.54246297276072,3.08156571504543
"74","मतदार",3.2608074077455,2.70392565340254,3.32193585809215,2.98236653057402,3.33175864735011
"75","फैलाकर",3.82635940413854,3.876958487974,3.76687242944041,3.85165894605627,3.82616432922464
"76","जायजाद",1.77245817326301,2.20332330283336,2.47683781807789,1.98789073804818,2.76615555044665
"77","बनावटी",3.41520525336019,3.6828506273189,3.68095780073382,3.54902794033954,3.65404446935591
"78","मलका",1.92736013324875,1.7262020481137,3.02090586242817,1.82678109068122,2.6745252501652
"79","टिव",1.94854943231869,1.90229330716938,2.47683781807789,1.92542136974403,2.73062641193973
"80","मांद",2.28908796926635,2.42517205244971,3.25498906846154,2.35713001085803,2.97615852665705
"81","खीचती",1.32530014192079,1.90229330716938,2.47683781807789,1.61379672454508,2.55339146492478
"82","भिक्षा",3.47018556020793,3.47049503123637,3.90820158223688,3.47034029572215,3.60929126790231
"83","टेकड़ी",1.10345139230444,1.7262020481137,2.87477782674993,1.41482672020907,2.44022827735485
"84","पीएल",2.27954265136012,1.90229330716938,2.47683781807789,2.09091797926475,2.82475177484493
"85","उज्वला",2.58537152990587,2.7262020481137,2.65292907713358,2.65578678900978,3.14601806462007
"86","टोकन",2.93382617549799,2.99337377651671,3.13005033185324,2.96359997600735,3.32108526398483
"87","पैथी",2.44587407312664,3.11536813247823,2.87477782674993,2.78062110280244,3.21701695168358
"88","नाजिल",2.53481515646342,2.82311206112175,2.77786781374188,2.67896360879259,3.15919976410843
"89","हॉरर",2.68323498892125,2.74739134718363,3.43108032751722,2.71531316805244,3.17987339281108
"90","गलाकर",1.667722822743,2.20332330283336,2.87477782674993,1.93552306278818,2.736371698967
"91","चलिरहेको",2.88400871245396,1.90229330716938,2.65292907713358,2.39315100981167,2.9966452883408
"92","लिहो",1.47142817759903,1.7262020481137,2.47683781807789,1.59881511285636,2.54487074875307
"93","मुँहा",1.32530014192079,1.7262020481137,2.47683781807789,1.52575109501724,2.5033159566982
"94","पवित्रा",2.88400871245396,2.02723204377768,3.37992780506984,2.45562037811582,3.03217442684772
"95","समरभूमि",1.52942012457672,1.7262020481137,2.65292907713358,1.62781108634521,2.56136206259527
"96","लोगू",1.62633013758477,1.90229330716938,3.07889780940586,1.76431172237707,2.63899611165827
"97","साहेबान",2.17039818193505,2.32826203944166,3.21720050757214,2.24933011068835,2.91484787652349
"98","भराना",2.57081280973494,2.02723204377768,2.65292907713358,2.29902242675631,2.94311013094092
"99","रजत",4.01157881998799,4.29027602709084,3.83856565409549,4.15092742353942,3.99637176810068
"100","त्यसलाइ",2.29842799552049,1.7262020481137,2.47683781807789,2.01231502181709,2.78004673879248
"101","ऊंचाईयां",1.8304501202407,2.02723204377768,2.95395907279756,1.92884108200919,2.73257135606227
"102","फैक्ट्रियों",2.96677425242489,2.80538329416132,3.35189908146959,2.88607877329311,3.2769954704872
"103","छिड़काव",3.5464534638755,3.03795590916945,3.17580782241391,3.29220468652247,3.50797753760404
"104","घोसले",2.41872182708303,2.42517205244971,3.28975117472075,2.42194693976637,3.01302282843077
"105","शिखरिणामहम्",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"106","सरलता",3.70224189906755,3.84677597931955,4.09488591478999,3.77450893919355,3.7822856514975
"107","इनसान",3.18021316422865,3.94104589616139,3.92399584942011,3.56062953019502,3.66064281513826
"108","साइकिलों",2.00654137929638,2.02723204377768,2.87477782674993,2.01688671153703,2.78264686428885
"109","सिफ्र",1.32530014192079,2.27027009246397,2.65292907713358,1.79778511719238,2.65803393632299
"110","दइया",2.02427014625681,3.0686247289359,3.13005033185324,2.54644743759636,3.08383185934726
"111","स्थानों",4.17089423508082,3.7283681098702,4.34899409082619,3.94963117247551,3.88188553942373
