"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","कीमतों",4.0645559451893,3.71072936145749,4.02393835980927,3.88764265332339,3.32424598684265
"2","सापेक्षिक",1.40448138796842,1.7262020481137,2.03086505340084,1.56534171804106,0.966022841875816
"3","सैल्फ",1.22839012891273,1.7262020481137,1.73529795343836,1.47729608851322,0.876615289990002
"4","भावरा",0.927360133248754,1.7262020481137,2.1332379621104,1.32678109068122,0.723772070509113
"5","ब्रह्मपुरी",2.40448138796842,1.90229330716938,3.06849324389445,2.1533873475689,1.56316457866823
"6","सपरिवार",3.83984789458108,3.2313520264336,3.58754915025796,3.53559996050734,2.96675776746408
"7","आनंदपुरी",2.08872813548373,1.7262020481137,2.51973692766105,1.90746509179871,1.3134383065005
"8","पहुंचने",4.15124528512464,4.03262707566438,5.09149118263638,4.09193618039451,3.53169960174095
"9","काटन",2.74360143324054,2.50435329849734,3.09655347349651,2.62397736586894,2.04103385740174
"10","कथित",4.37552517980444,4.1559543281161,4.31460985590171,4.26573975396027,3.70819163325748
"11","शीलम",1.98805797360237,1.7262020481137,2.04439557085037,1.85713001085803,1.26232462391325
"12","मनगढ़त",2.08872813548373,1.90229330716938,1.95278189765227,1.99551072132655,1.40284585838631
"13","सिद्धेश्वर",2.47142817759903,1.90229330716938,3.48076312210909,2.1868607423842,1.59715575233344
"14","सालेह",2.70911550790122,1.90229330716938,2.23360850722796,2.3057044075353,1.71783773524706
"15","बंगले",3.84275996846102,3.50071901384224,3.63879490077422,3.67173949115163,3.10500315471458
"16","बुर्ज",2.93382617549799,2.90229330716938,3.34355648193663,2.91805974133368,2.33966520780572
"17","छात्रवास",1.98805797360237,1.7262020481137,1.79124935876751,1.85713001085803,1.26232462391325
"18","गांज",1.47142817759903,2.02723204377768,2.22490491970608,1.74933011068835,1.15285723502192
"19","वस्तुस्थिति",2.85932624797693,2.53911540475655,3.4247178143471,2.69922082636674,2.11744121157255
"20","पियुष",2.91188744659255,2.50435329849734,2.71982526678215,2.70812037254494,2.1264784192222
"21","पदमुक्त",2.59011796493033,2.12414205678573,2.85546042608013,2.35713001085803,1.77005880881985
"22","दफना",3.34978580961996,3.37941456188904,3.32580541544694,3.3646001857545,2.79311290495739
"23","धारकों",3.34065989733001,2.68044455755302,4.25623977541642,3.01055222744151,2.43358840189361
"24","स्टाप",2.35060600718556,2.46656473760794,3.73071375198078,2.40858537239675,1.82231010091972
"25","पांडेपुर",1.40448138796842,1.7262020481137,1.69553082656687,1.56534171804106,0.966022841875816
"26","मयंकेश्वर",1.52942012457672,2.02723204377768,1.86963446438704,1.7783260841772,1.18230172895178
"27","मेहनताने",1.667722822743,2.12414205678573,2.55811959874147,1.89593243976437,1.30172726313956
"28","वेग",3.18862300204125,3.01623665947621,3.14501979265851,3.10242983075873,2.52688720195649
"29","ब्लडप्रेशर",2.19453186165177,2.32826203944166,2.59488653017385,2.26139695054671,1.67284491412829
"30","जमुना",3.43046956992012,3.8565358166087,3.73459165087889,3.64350269326441,3.0763295795953
"31","नाराज",4.35662779968192,4.41239128235772,4.62417215587552,4.38450954101982,3.8287985953059
"32","पहंचान",1.47142817759903,1.90229330716938,1.80533582004612,1.6868607423842,1.08942156742684
"33","ठूंसे",2.14484407746266,1.7262020481137,2.11324133369414,1.93552306278818,1.34193028856144
"34","मलीन",2.77554925024015,2.12414205678573,2.45442198941271,2.44984565351294,1.86420861132282
"35","लमही",1.7055113836324,2.32826203944166,2.10172091066433,2.01688671153703,1.42455250031848
"36","ट्रीटेड",1.10345139230444,1.7262020481137,1.77172721906504,1.41482672020907,0.813179622394926
"37","बिजरौल",1.22839012891273,1.7262020481137,2.66086786298174,1.47729608851322,0.876615289990002
"38","धर्माचार्यो",1.667722822743,1.90229330716938,2.46869586279978,1.78500806495619,1.18908706908055
"39","पाइपर",2.05769390174376,1.90229330716938,1.92911797945447,1.97999360445657,1.38708871701415
"40","ठक्कर",3.19920173978525,2.6012633115054,3.12865376065281,2.90023252564532,2.32156223415235
"41","जमुनादास",0.927360133248754,1.7262020481137,2.13755933589304,1.32678109068122,0.723772070509113
"42","शंकर",4.35848255564999,4.25511874839135,5.0423123635113,4.30680065202067,3.74988767647394
"43","उच्चअधिकारियों",1.32530014192079,1.7262020481137,1.4756606429326,1.52575109501724,0.925819816453936
"44","सारस",2.18263263835206,1.7262020481137,3.0033491174748,1.95441734323288,1.36111683272341
"45","ईनामी",2.72324015059283,2.20332330283336,2.99536934142344,2.46328172671309,1.87785251867206
