"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","रूढ़ियों",2.44587407312664,1.7262020481137,3.45456142336674,2.08603806062017,2.8219763457005
"2","मानिन्द",1.9050837385376,1.7262020481137,3.40625674379219,1.81564289332565,2.66819045653263
"3","पुल्लिंग",2.10345139230443,1.90229330716938,3.28975117472075,2.00287234973691,2.77467626661835
"4","छाँव",3.55060942364665,3.04842134284761,4.11030627365748,3.29951538324713,3.51213545953544
"5","राहीलं",1.80242139664045,1.7262020481137,3.17580782241391,1.76431172237707,2.63899611165827
"6","मासे",2.59481308613871,1.90229330716938,3.7321103231812,2.24855319665404,2.91440601058051
"7","बूझि",1.10345139230444,1.7262020481137,3.02090586242817,1.41482672020907,2.44022827735485
"8","असंका",1.40448138796842,1.90229330716938,3.17580782241391,1.6533873475689,2.57590843231493
"9","तस्वीर",5.12990293804268,4.40744328548928,4.91140672211209,4.76867311176598,4.34771151612238
"10","जानूँ",2.41165997259554,2.02723204377768,3.43108032751722,2.21944600818661,2.89785144377952
"11","झोप",2.97463500063293,2.02723204377768,4.24399368416007,2.50093352220531,3.05794604926435
"12","अंतरी",1.77245817326301,1.7262020481137,3.21720050757214,1.74933011068835,2.63047539548657
"13","मला",4.29322234865131,3.80538329416132,5.82436297807658,4.04930282140631,3.93857328761472
"14","आपके",5.76690102621772,6.14343286114375,5.54539471315026,5.95516694368073,5.02252390555558
"15","पी",4.94614382212345,5.33563636844533,5.26429829259631,5.14089009528439,4.5594080502968
"16","डाँट",2.86185858449232,2.53911540475655,3.8192604989001,2.70048699462444,3.17144108136707
"17","इनसानों",1.5805726470241,2.32826203944166,3.25498906846154,1.95441734323288,2.74711772578193
"18","छोड़ी",0.927360133248754,3.67559205475861,3.79905711281181,2.30147609400368,2.94450564182647
"19","चरित्रों",2.48366263401604,2.74739134718363,3.87477782674993,2.61552699059984,3.1231205071003
"20","पन्द्रह",3.22292723321123,3.49705405975584,4.22113080120057,3.35999064648354,3.54653046083123
"21","स्मरण",4.08269617071382,3.60986348326731,4.42132049022806,3.84627982699056,3.82310498235562
"22","दमित",2.38975813114771,2.32826203944166,3.59078117038473,2.35901008529468,2.97722780952123
"23","महत्वाच्या",2.78469262968002,1.90229330716938,3.62296585375613,2.3434929684247,2.96840252747551
"24","भ्रांत",2.08872813548373,2.02723204377768,3.40625674379219,2.0579800896307,2.80601851605423
"25","साज़",0.927360133248754,2.53911540475655,3.28975117472075,1.73323776900265,2.62132295722485
"26","मुंग्या",1.80242139664045,1.7262020481137,3.17580782241391,1.76431172237707,2.63899611165827
"27","गाती",3.02773067836632,3.16553474194396,4.22502584508409,3.09663271015514,3.39674696132229
"28","रहायचं",2.19453186165177,1.7262020481137,3.40625674379219,1.96036695488273,2.75050153743408
"29","मनोविज्ञान",2.92736013324875,2.91653374628399,4.03913068253437,2.92194693976637,3.29739530946769
"30","छोड़कर",0.927360133248754,4.39412173343106,4.4790038798344,2.66074093333991,3.14883570924921
"31","भले",4.79755913430982,4.88682062051317,5.21403046078263,4.8421898774115,4.38952380621123
"32","आवाजात",2.35872389740774,1.7262020481137,4.10522674812821,2.04246297276072,2.79719323400851
"33","चली",4.83366823287313,4.86212938311916,5.29440318763768,4.84789880799615,4.39277073172008
"34","किस्मों",2.15780905462703,2.02723204377768,3.47683781807789,2.09252054920235,2.82566322842332
"35","१९७७",2.05769390174376,2.20332330283336,3.65292907713358,2.13050860228856,2.84726874223509
"36","हम",6.31764684569814,6.38911563140565,6.32674837637939,6.35338123855189,5.24900627958934
"37","होती",5.73125064420516,5.87705055478322,6.19608621652584,5.80415059949419,4.93663412060867
"38","दिनों",5.20416647887752,4.9775968981538,5.54558011101088,5.09088168851566,4.53096602088574
"39","नाराज़",1.10345139230444,3.39829990604941,4.00831673512015,2.25087564917692,2.91572689375255
"40","सतह",3.16915556454395,2.96924009679999,4.4790038798344,3.06919783067197,3.38114351183114
"41","बेभान",2.00654137929638,2.27027009246397,3.43108032751722,2.13840573588018,2.85176019718015
"42","झाडाला",2.25979859316436,2.12414205678573,3.40625674379219,2.19197032497505,2.88222478737341
"43","देणारी",2.83851774198873,2.20332330283336,3.82902033618926,2.52092052241104,3.06931355493833
"44","पीछा",3.75858982711582,3.86608113451493,4.44062564542345,3.81233548081538,3.80379930647759
"45","गेलाय",2.55574906329907,1.7262020481137,3.43108032751722,2.14097555570638,2.85322176925974
"46","५०",3.82361069571039,3.66321815557851,4.46136513142169,3.74341442564445,3.76460080356831
"47","ब्लॉग्स",0.927360133248754,1.90229330716938,4.03913068253437,1.41482672020907,2.44022827735485
"48","जारी",5.53065069012872,5.05386743516374,5.18270153036181,5.29225906264623,4.64549838789816
"49","टा",3.12464069137437,3.1064132898253,4.06790242510439,3.11552699059984,3.40749298813722
"50","कुछ",6.17774841626303,6.43608654187035,6.51899970731532,6.30691747906669,5.22258025046312
"51","सुट्टीत",1.62633013758477,1.7262020481137,3.51823050323612,1.67626609284923,2.5889206034317
"52","गायकी",2.63065151136742,2.7262020481137,3.95395907279756,2.67842677974056,3.15889444528959
"53","यहीं",4.38456054604252,4.51648721214694,5.00382288663789,4.45052387909473,4.16676574285295
"54","पाठकों",2.92736013324875,2.90229330716938,4.72235048589204,2.91482672020907,3.29334572046561
"55","चौदा",2.11769183141905,2.57130008812795,3.47683781807789,2.3444959597735,2.96897297375214
"56","किवा",2.24957942798267,2.20332330283336,3.88337799851185,2.22645136540802,2.90183570540673
"57","राउ",2.13148011590468,1.90229330716938,3.75559141903072,2.01688671153703,2.78264686428885
"58","दरअसल",4.23560430998936,4.21686270146983,5.03614582898491,4.2262335057296,4.03920172295987
"59","त्याविषयी",1.62633013758477,1.90229330716938,3.35189908146959,1.76431172237707,2.63899611165827
"60","बिमला",2.15780905462703,1.90229330716938,3.40625674379219,2.0300511808982,2.7901340899164
"61","मिनिटे",2.52395722887521,2.27027009246397,3.82902033618926,2.39711366066959,2.99889902605271
"62","छिपी",3.39274298469717,3.45047791771448,4.17144301701146,3.42161045120583,3.58157641433101
"63","नज्मों",1.32530014192079,2.27027009246397,3.21720050757214,1.79778511719238,2.65803393632299
"64","मौसी",3.57912258062886,3.58353454454496,4.37446490936833,3.58132856258691,3.67241528553095
"65","१९६१",1.74027348989161,1.7262020481137,3.17580782241391,1.73323776900265,2.62132295722485
"66","जथा",2.11769183141905,2.02723204377768,3.57374783108595,2.07246193759836,2.81425499412735
"67","पद",5.25452486904261,4.97576725993904,5.0566214146947,5.11514606449082,4.54476626247948
"68","शिक्षण",4.38083136697169,3.87849039249675,4.58404778772576,4.12966087973422,3.98427652845076
"69","स्वायत्तता",2.87184280539892,2.57130008812795,3.74400954648091,2.72157144676344,3.18343275729921
"70","मोजता",1.7055113836324,1.7262020481137,3.40625674379219,1.71585671587305,2.61143757082185
"71","दर्द",5.20259084207062,5.19061707053986,5.25281214920726,5.19660395630524,4.59109502807009
"72","घरापासून",2.68323498892125,1.7262020481137,3.43108032751722,2.20471851851747,2.88947525822621
"73","कैटरीना",3.09467746799693,2.65562097382799,3.84790568034963,2.87514922091246,3.27077934263298
"74","लेना",5.21035589124008,5.39257960904719,5.25823412327468,5.30146775014363,4.65073578251962
"75","निवड",3.69894761413001,1.90229330716938,3.94665983405606,2.80062046064969,3.22839148570392
"76","निर्मल",3.93787209598597,3.71297378237994,4.4790038798344,3.82542293918295,3.8112427324905
"77","आरम्भ",3.78318203865478,3.58952490823415,4.40369452702759,3.68635347344447,3.73214767447344
"78","लगाया",4.92670820245548,4.86921684836779,4.9765249006963,4.89796252541163,4.42124421878282
"79","नामों",3.7576279341824,3.77152502690035,4.30934673078413,3.76457648054137,3.77663661567807
"80","वाचला",2.57572014422969,1.90229330716938,3.8092762779935,2.23900672569953,2.90897650331955
"81","समस्या",5.11749565412578,5.17560330110992,5.20519160009912,5.14654947761785,4.5626267954874
"82","चारही",2.19453186165177,1.90229330716938,3.53753565843151,2.04841258441057,2.80057704566066
"83","अच्छा",5.4873744212566,5.98707208949435,5.64445049080542,5.73722325537547,4.89856953081617
"84","सांस्कृतिक",4.14628931833684,3.78878403234186,4.77895219503409,3.96753667533935,3.89206920397094
"85","परिचित",3.93871908695536,3.83000576906965,4.68501034474502,3.88436242801251,3.84476426982952
"86","खड़ी",1.40448138796842,4.00950327681725,4.60877711328832,2.70699233239283,3.17514095944943
"87","राहावे",2.43924349422763,2.02723204377768,3.47683781807789,2.23323776900265,2.90569543826178
"88","लाल",5.15754073104445,5.10450908297051,5.31062219273437,5.13102490700748,4.55379727416439
"89","हिनका",1.80242139664045,1.7262020481137,3.17580782241391,1.76431172237707,2.63899611165827
"90","कन्या",3.95593138594129,3.73692591350547,4.60877711328832,3.84642864972338,3.82318962453515
"91","जातीं",3.23271150269538,3.14117539608451,4.37446490936833,3.18694344938995,3.44811073928325
"92","क्योंकर",1.7055113836324,2.53911540475655,3.78859167913365,2.12231339419447,2.84260775891843
"93","जडवाद",0.927360133248754,1.7262020481137,3.07889780940586,1.32678109068122,2.39015276912827
"94","गाण्याची",1.80242139664045,2.42517205244971,3.77786781374188,2.11379672454508,2.8377639459617
"95","विरक्ति",2.04130348555559,2.27027009246397,3.40625674379219,2.15578678900978,2.86164558358315
"96","अपरिमित",2.65163600284954,2.12414205678573,3.62296585375613,2.38788902981764,2.99365256372867
"97","सांगितली",2.57081280973494,2.12414205678573,3.96113765742468,2.34747743326034,2.97066867177734
