"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","बताऊ",3.06880990664922,3.48207690378619,3.21720050757214,3.2754434052177,3.49844464330405
"2","अनंत",4.6609184912984,4.1559543281161,4.50214368334266,4.40843640970725,4.14282870667238
"3","खर्चा",4.07457255021921,4.34789751044297,4.18864504711908,4.21123503033109,4.03067141563818
"4","जम्हाई",1.667722822743,2.12414205678573,3.17580782241391,1.89593243976437,2.71385473157684
"5","प्राबलम",1.52942012457672,2.12414205678573,2.47683781807789,1.82678109068122,2.6745252501652
"6","पॉव",2.35872389740774,2.12414205678573,2.47683781807789,2.24143297709674,2.91035642157843
"7","कराऊं",1.7055113836324,1.90229330716938,2.47683781807789,1.80390234540089,2.66151307904843
"8","रेस्ट्रिक्शन",1.22839012891273,1.7262020481137,2.47683781807789,1.47729608851322,2.47575741586178
"9","समकक्षी",1.80242139664045,1.7262020481137,2.47683781807789,1.76431172237707,2.63899611165827
"10","तोहे",2.80242139664045,2.32826203944166,3.21720050757214,2.56534171804106,3.09457788616219
"11","तिळमात्र",1.52942012457672,1.90229330716938,2.65292907713358,1.71585671587305,2.61143757082185
"12","शर्तो",2.65163600284954,2.42517205244971,2.95395907279756,2.53840402764963,3.07925721046216
"13","पहुँचना",3.29471605427477,3.00495564906652,3.76687242944041,3.14983585167065,3.42700598002574
"14","पुष्टाहार",2.54540822996085,1.7262020481137,2.47683781807789,2.13580513903727,2.85028112082736
"15","किसन",2.45883905029101,3.33365707132836,3.13005033185324,2.89624806080969,3.28277920153013
"16","चमारी",1.74027348989161,2.50435329849734,2.47683781807789,2.12231339419447,2.84260775891843
"17","नक्शों",1.77245817326301,1.7262020481137,2.95395907279756,1.74933011068835,2.63047539548657
"18","प्रगतीला",1.22839012891273,1.7262020481137,2.65292907713358,1.47729608851322,2.47575741586178
"19","रतन",4.05072169199505,3.83679175841294,4.02090586242817,3.943756725204,3.87854447713309
"20","सब्सिडी",4.05624383534853,4.33792535612104,3.75559141903072,4.19708459573478,4.02262342725037
"21","एलिझाबेथ",1.7055113836324,2.02723204377768,2.77786781374188,1.86637171370504,2.69704221755535
"22","चिन्हं",1.22839012891273,1.7262020481137,2.47683781807789,1.47729608851322,2.47575741586178
"23","आदमख़ोर",1.96875281840698,2.37941456188904,2.47683781807789,2.17408369014801,2.87205185392708
"24","विद्याओं",2.33390031368271,2.27027009246397,3.07889780940586,2.30208520307334,2.94485206954119
