"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","जिंता",1.22839012891273,1.7262020481137,2.47683781807789,1.47729608851322,2.47575741586178
"2","माँझे",1.32530014192079,1.7262020481137,2.77786781374188,1.52575109501724,2.5033159566982
"3","तबसे",3.68853594640449,3.93571706265633,3.65292907713358,3.81212650453041,3.80368045226832
"4","कोनो",3.2106613619523,2.96924009679999,3.6943217622918,3.08995072937615,3.39294661841757
"5","कॅमरा",1.32530014192079,1.7262020481137,2.65292907713358,1.52575109501724,2.5033159566982
"6","शाषण",2.05769390174376,2.42517205244971,2.47683781807789,2.24143297709674,2.91035642157843
"7","मानावे",2.08872813548373,1.7262020481137,3.17580782241391,1.90746509179871,2.72041386932073
"8","फनाह",1.80242139664045,1.7262020481137,2.47683781807789,1.76431172237707,2.63899611165827
"9","तेईस",2.42567068703835,2.57130008812795,3.21720050757214,2.49848538758315,3.05655368503152
"10","तंगहाली",2.52942012457672,2.27027009246397,3.25498906846154,2.39984510852034,3.00045252325699
"11","चिती",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"12","बोलवाने",1.5805726470241,1.90229330716938,2.47683781807789,1.74143297709674,2.62598394054151
"13","जांच",5.19853934222916,5.06714165015177,4.7756908944876,5.13284049619047,4.55482988136541
"14","सामाने",1.52942012457672,2.02723204377768,2.47683781807789,1.7783260841772,2.64696670932877
"15","इतराते",2.97851265569613,2.82311206112175,3.45456142336674,2.90081235840894,3.28537512279512
"16","ढहाकर",1.94854943231869,1.7262020481137,2.47683781807789,1.83737574021619,2.68055090371315
"17","आवाम्",1.62633013758477,1.90229330716938,2.47683781807789,1.76431172237707,2.63899611165827
"18","क्षत्रछाया",1.32530014192079,2.02723204377768,2.47683781807789,1.67626609284923,2.5889206034317
"19","फाड़ू",1.77245817326301,2.8565358166087,2.47683781807789,2.31449699493586,2.9519112136333
"20","करदीं",1.52942012457672,1.90229330716938,2.47683781807789,1.71585671587305,2.61143757082185
