"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","भाषाओं",3.7018770989773,3.57746039683277,3.65457221888797,3.63966874790504,3.07243632935126
"2","डाले",4.19966597765084,4.40243826487701,4.45684065736689,4.30105212126392,3.74405022531756
"3","होमलैंड",1.32530014192079,1.90229330716938,2.34542556651436,1.61379672454508,1.01522736833975
"4","गजानन",3.56234093329998,2.68044455755302,3.05153047486575,3.1213927454265,2.54614344200108
"5","चावला",3.55009209841347,3.5490236934168,4.37921921767302,3.54955789591514,2.98093160937859
"6","पार्षदो",1.88160264268808,1.7262020481137,2.03903384247827,1.80390234540089,1.20827361324252
"7","जरजीस",1.10345139230444,1.7262020481137,1.53117797078244,1.41482672020907,0.813179622394926
"8","सुखाएं",1.22839012891273,1.90229330716938,1.94279767674567,1.56534171804106,0.966022841875816
"9","वाल्टर",1.88160264268808,1.7262020481137,2.52856435517975,1.80390234540089,1.20827361324252
"10","नदारद",3.16915556454395,3.07838456622506,4.19689026209609,3.12377006538451,2.54855753522335
"11","छापा",3.98312059793649,4.06165994880308,4.51643374751513,4.02239027336978,3.46107793290737
"12","सेवा",5.46137988992394,5.0245091854422,5.51275468238955,5.24294453768307,4.70051218195814
"13","रहिया",1.80242139664045,2.20332330283336,1.9814270791018,2.00287234973691,1.41032135918734
"14","डीपीएस",2.00654137929638,1.7262020481137,3.9275168278318,1.86637171370504,1.27170928083759
"15","मनप्रीत",2.51842474027525,2.65562097382799,4.18836772640332,2.58702285705162,2.00350772257577
"16","ग्रेजुएशन",3.0479340644546,3.32826203944166,3.25806811152426,3.18809805194813,2.61388057087248
"17","हुई",5.82408471407689,5.7108643543038,6.13663860226001,5.76747453419035,5.2331558024295
"18","दौलताबाद",2.36669282707902,2.42517205244971,2.79646759664327,2.39593243976437,1.80946144804616
"19","कोठियां",1.92736013324875,2.20332330283336,2.74336557518639,2.06534171804106,1.47375702678242
"20","उद्धरणों",1.22839012891273,1.7262020481137,1.3885104672137,1.47729608851322,0.876615289990002
"21","दरवाजे",4.17716974265056,4.12760258889524,4.53339588550085,4.1523861657729,3.59308464984837
"22","मिसल",1.40448138796842,2.02723204377768,1.88528640992984,1.71585671587305,1.11886606135671
"23","हवनकुंड",1.8304501202407,1.90229330716938,2.04439557085037,1.86637171370504,1.27170928083759
"24","धीरेंद्र",3.32093533651834,2.32826203944166,4.08321313994005,2.82459868798,2.24475846431563
"25","तीतरों",1.40448138796842,2.02723204377768,2.3507219063243,1.71585671587305,1.11886606135671
"26","चार्जेज",2.38975813114771,2.50435329849734,2.76771523227113,2.44705571482252,1.86137551682898
"27","मुजाहिद",3.47636339527454,2.9436859923276,3.43426795777438,3.21002469380107,2.63614638213037
"28","पेशों",1.22839012891273,2.20332330283336,1.68346631516549,1.71585671587305,1.1188660613567
"29","दक्ष",3.24542346821152,3.01623665947621,3.6514227663288,3.13083006384386,2.55572674034976
"30","अगस्त",4.87307484730861,4.35662992313872,5.06606672901125,4.61485238522367,4.06270446780772
"31","उत्सर्जन",2.62633013758477,2.7262020481137,2.95540604147842,2.67626609284923,2.09413140574803
"32","कल्याणक",2.8304501202407,1.7262020481137,2.87003271703476,2.2783260841772,1.69003591385838
"33","कार्यस्थल",2.81666183575506,1.90229330716938,3.39604488511096,2.35947757146222,1.77244268235962
"34","परिवारीजनों",2.31652621761329,1.7262020481137,3.94370571525445,2.02136413286349,1.42909918005383
"35","आवृत्ति",2.02427014625681,2.42517205244971,2.26837061348717,2.22472109935326,1.63560174730536
"36","कतरा",3.82416183091368,3.54244334810548,3.66669225178122,3.68330258950958,3.11674511535411
"37","बेहमई",1.74027348989161,2.62929203510564,2.25871922781099,2.18478276249862,1.59504562948653
"38","रिजवान",3.44849821695279,3.03795590916945,4.04665441216481,3.24322706306112,2.66986233791681
