"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","फिरोज",3.92627303760754,3.60701564039449,4.14601193544057,3.76664433900101,3.20137602584756
"2","थर्मल",3.36590248203486,3.0586405080293,4.07390383458623,3.21227149503208,2.63842793771372
"3","इक्यूपमेंट",1.62633013758477,1.90229330716938,2.16866770029495,1.76431172237707,1.16807058782064
"4","जुझना",1.5805726470241,2.12414205678573,2.22840731354215,1.85235735190492,1.25747813970645
"5","तुलनात्मक",2.8887812273152,3.29440377218069,3.07549411252986,3.09159249974795,2.51588223510184
"6","लॉट",2.08872813548373,2.32826203944166,2.59787652120543,2.20849508746269,1.61912474546228
"7","ढके",3.09762184864371,3.04842134284761,3.14670719441957,3.07302159574566,2.49702406948868
"8","सिस्को",1.667722822743,1.7262020481137,1.61035921683006,1.69696243542835,1.09967951719473
"9","तकनीकी",4.14087789024506,3.64001590049741,4.79222185236072,3.89044689537124,3.32709360594353
"10","लाजवंती",1.62633013758477,2.37941456188904,2.8437784100437,2.00287234973691,1.41032135918734
"11","पाटलिपुत्र",2.89350186598779,2.84014540042053,3.01831634625962,2.86682363320416,2.28763656060786
"12","छांटना",1.22839012891273,1.90229330716938,1.57257065594066,1.56534171804106,0.966022841875816
"13","डॅाक्टर",1.85677905896305,1.7262020481137,1.75128605882249,1.79149055353837,1.19566983119343
"14","शम्मी",2.05769390174376,2.20332330283336,3.52000437782771,2.13050860228856,1.53993193649504
"15","फजल",2.76305070474118,3.56189261960612,3.1349716749194,3.16247166217365,2.587857782624
"16","रायसी",1.5805726470241,2.37941456188904,2.34409132742529,1.97999360445657,1.38708871701415
"17","हटाते",3.2824283395976,3.30023331584141,3.28796616955055,3.29133082771951,2.71871018939634
"18","चिक्की",1.88160264268808,1.7262020481137,1.88911281778289,1.80390234540089,1.20827361324252
"19","मूंढापांडे",1.22839012891273,1.7262020481137,3.19412458511506,1.47729608851322,0.876615289990002
"20","पतंगबाजी",1.80242139664045,2.37941456188904,3.29475569524908,2.09091797926475,1.49972891107316
"21","स्केन",1.80242139664045,2.20332330283336,2.66022303067039,2.00287234973691,1.41032135918734
"22","लारी",2.50139140097647,2.53911540475655,3.25446941726002,2.52025340286651,1.9357054537811
"23","टीजी",1.32530014192079,1.90229330716938,2.75906467539611,1.61379672454508,1.01522736833975
"24","उत्पाद",4.12711531050223,3.79438790985986,4.46629207761524,3.96075161018104,3.39848582008163
"25","स्टोव",1.85677905896305,2.02723204377768,3.36508968585381,1.94200555137036,1.34851305067432
"26","शैचालय",0.927360133248754,1.90229330716938,1.55648383604721,1.41482672020907,0.813179622394926
"27","शस्त्रों",2.63493030934669,3.25124685515054,3.47988427968729,2.94308858224862,2.36508120408792
"28","गीत",4.48923635114777,4.53609829471614,4.86009959421424,4.51266732293195,3.95893876918309
"29","डंडी",2.6637566355254,2.57130008812795,2.55236726985237,2.61752836182667,2.03448509778002
"30","वें",4.60610607031446,3.48963004167663,4.03779122508717,4.04786805599555,3.4869498152968
"31","तेजनारायण",0.927360133248754,1.7262020481137,3.21440517682387,1.32678109068122,0.723772070509113
"32","सामग्री",4.28453239097179,3.78310689945017,4.8687809747317,4.03381964521098,3.47268409849893
"33","एक्सपो",2.97657815591894,1.7262020481137,3.47959093656104,2.35139010201632,1.76423011294548
"34","सैलानियों",2.64336347688355,1.7262020481137,3.80869550375161,2.18478276249862,1.59504562948653
"35","चढ़वाना",1.32530014192079,1.7262020481137,1.85751383171119,1.52575109501724,0.925819816453936
"36","सगान",0.927360133248754,1.90229330716938,1.70726922983812,1.41482672020907,0.813179622394926
"37","केसरवानी",2.30757137496036,1.90229330716938,3.62933695424297,2.10493234106487,1.5139600522043
"38","सौंदर्यता",1.52942012457672,1.7262020481137,1.84080813820833,1.62781108634521,1.02945850947089
"39","हलद्वानी",1.22839012891273,1.90229330716938,1.81447919948599,1.56534171804106,0.966022841875816
"40","यूजिंग",0.927360133248754,1.7262020481137,1.73529795343836,1.32678109068122,0.723772070509113
"41","धनु",2.9229953278463,2.46656473760794,2.97522276670051,2.69478003272712,2.11293172609465
"42","धारावाहिकों",2.52395722887521,2.20332330283336,2.43966298966109,2.36364026585429,1.77666976684796
"43","एजेन्सियों",1.98805797360237,2.12414205678573,2.25381189331625,2.05610001519405,1.46437236985807
"44","नए",5.21413086996281,4.83051841262542,5.29727985883382,5.02232464129412,4.47647965542369
"45","इतिहासविद",1.10345139230444,1.7262020481137,1.62459965594467,1.41482672020907,0.813179622394926
"46","बैजनाथ",2.56082858882834,2.27027009246397,4.1841587990458,2.41554934064616,1.82938179040538
"47","बीहर",0.927360133248754,1.7262020481137,1.30932922116608,1.32678109068122,0.723772070509113
"48","भावविभोर",2.7018770989773,2.74739134718363,3.35919303500641,2.72463422308047,2.14324771210485
"49","चेम्बर",2.61310187185102,2.32826203944166,3.08916611900735,2.47068195564634,1.88536721708315
"50","बनवाने",3.9130111069397,3.95151132983956,4.56680779857287,3.93226121838963,3.36955472837387
"51","रिमाण्ड",1.7055113836324,2.02723204377768,2.2809142863515,1.86637171370504,1.27170928083759
"52","बच्चु",1.74027348989161,2.12414205678573,2.41199156306323,1.93220777333867,1.33856371698869
"53","जिग",1.32530014192079,1.90229330716938,2.03360509076687,1.61379672454508,1.01522736833975
"54","शम्सुल",0.927360133248754,2.20332330283336,1.77172721906504,1.56534171804106,0.966022841875815
"55","पाणा",1.88160264268808,2.12414205678573,1.93601168740237,2.00287234973691,1.41032135918734
"56","विषैले",2.89817174412127,2.8565358166087,3.1033522843955,2.87735378036499,2.29832959197916
"57","वर्तन",2.48965299770523,2.65562097382799,2.87674772683883,2.57263698576661,1.98889932531364
"58","वसूलने",3.38448475955216,3.17336007945591,4.0849882045415,3.27892241950404,2.7061098433338
"59","साझे",2.07348816892699,2.32826203944166,2.97895598007706,2.20087510418432,1.61138689346459
"60","नित्य",3.80702933888081,3.66321815557851,3.69725268813952,3.73512374722966,3.16936786190595
"61","गहरा",4.2788665561778,4.03262707566438,4.33594418910076,4.15574681592109,3.59649728377587
"62","ब्रेथवेट",1.22839012891273,1.7262020481137,1.65175190198829,1.47729608851322,0.876615289990002
"63","मिश्रा",4.85138083372282,4.97844809858681,5.25109400115572,4.91491446615482,4.36740801997363
"64","भविष्यनिधि",0.927360133248754,1.7262020481137,2.373787210393,1.32678109068122,0.723772070509113
"65","बिकवाया",1.22839012891273,1.90229330716938,1.62459965594467,1.56534171804106,0.966022841875816
"66","चौहरे",0.927360133248754,1.90229330716938,2.3165078057932,1.41482672020907,0.813179622394926
"67","इसबीच",1.47142817759903,1.7262020481137,2.7147325044013,1.59881511285636,1.00001401554103
"68","दलहन",2.86687938586737,2.46656473760794,3.60577501537248,2.66672206173766,2.08443974403371
"69","कक्का",2.41872182708303,2.46656473760794,2.47861169266949,2.44264328234548,1.85689483121461
"70","चंकी",1.88160264268808,2.02723204377768,2.48638450832438,1.95441734323288,1.36111683272341
"71","ज्यूरी",2.04130348555559,2.37941456188904,2.85914959440545,2.21035902372231,1.62101751377727
"72","बख्तावर",1.52942012457672,1.7262020481137,3.07895267617026,1.62781108634521,1.02945850947089
"73","प्रिंसीपल",2.40448138796842,2.32826203944166,3.48056797742735,2.36637171370504,1.7794434657442
"74","विद्यार्थियों",4.53770084470091,4.28431034974424,5.39965312475327,4.41100559722258,3.85570450230459
"75","बसंत",4.05769390174376,2.99337377651671,4.44305968779063,3.52553383913023,2.95653593959893
"76","साढ़े",4.04579021037084,3.44220539174849,5.02867984653206,3.74399780105967,3.17837918288235
"77","मथुरा",4.61658017051259,4.14698266766226,4.76036304630545,4.38178141908743,3.82602827377456
"78","हृदयाघात",2.7055113836324,1.90229330716938,3.06291228005899,2.30390234540089,1.71600779814912
"79","प्रोत",3.09171298903319,3.01623665947621,3.05725866258447,3.0539748242547,2.47768267549255
"80","गौरवांवित",2.15780905462703,2.27027009246397,2.44920830756732,2.2140395735455,1.62475499570623
"81","मध्यमग्राम",1.77245817326301,1.7262020481137,1.93941793609429,1.74933011068835,1.15285723502192
"82","गोताखोर",2.35060600718556,2.50435329849734,3.53695887073709,2.42747965284145,1.84149664508169
"83","भभक",1.85677905896305,2.46656473760794,2.17066446005102,2.16167189828549,1.57157727787905
"84","थाने",4.57508531775304,4.25576072113486,5.46851328032432,4.41542301944395,3.86019025484651
"85","शमा",3.37296433652235,3.24471598799158,3.51045311837346,3.30884016225697,2.7364903647956
"86","शातिरों",2.05769390174376,2.27027009246397,3.45895882012981,2.16398199710387,1.57392311016025
"87","ट्रेवलिंग",1.22839012891273,2.02723204377768,1.91138921249404,1.62781108634521,1.02945850947089
"88","महरूम",2.88640152556985,3.03795590916945,3.55261536724953,2.96217871736965,2.38446663247879
"89","संलिप्ता",1.74027348989161,1.7262020481137,2.58039599345262,1.73323776900265,1.13651597104386
"90","सतिया",1.40448138796842,1.90229330716938,2.17066446005102,1.6533873475689,1.05543039376163
"91","जलने",3.94230048304169,4.3494513385116,4.20557978362772,4.14587591077664,3.58647369182026
"92","डबराल",2.10345139230443,2.02723204377768,3.11799024022581,2.06534171804106,1.47375702678242
"93","लक्ष्मीनाथ",1.74027348989161,1.7262020481137,2.53030851206981,1.73323776900265,1.13651597104386
"94","फैक्ट्रियां",3.14087789024506,2.96924009679999,3.13755933589304,3.05505899352252,2.47878361509155
"95","केटरिंग",1.667722822743,1.7262020481137,2.0082992255021,1.69696243542835,1.09967951719473
"96","हिस्ट्रीशिटर",1.10345139230444,1.7262020481137,1.49496579812799,1.41482672020907,0.813179622394926
"97","बदनसिंह",1.10345139230444,1.7262020481137,1.465676422026,1.41482672020907,0.813179622394926
"98","रुपम",1.32530014192079,2.46656473760794,2.56460172626939,1.89593243976437,1.30172726313956
"99","श्रद्धांजलि",4.90663528083978,4.41149582950048,4.66214181324881,4.65906555517013,4.10760154341753
"100","छात्राए",1.667722822743,1.90229330716938,1.94947926210218,1.78500806495619,1.18908706908055
"101","श्रीकांत",3.14220398129645,2.76759473327192,4.14577993488623,2.95489935728419,2.37707467255952
"102","लड़ती",0.927360133248754,3.21050188746048,2.9329230530195,2.06893101035462,1.47740183959685
"103","जिल",2.08872813548373,2.20332330283336,2.58960399523944,2.14602571915854,1.5556890778672
"104","बौद्धिक",3.80213177043305,3.77735457056108,3.85165660394005,3.78974317049706,3.22483215861144
"105","लेसर",1.32530014192079,2.02723204377768,1.70143968617739,1.67626609284923,1.07866303593483
"106","पंसदीदा",2.00654137929638,2.50435329849734,2.46769171326133,2.25544733889686,1.66680327168519
"107","लिखाकर",1.9050837385376,2.20332330283336,2.63770882460482,2.05420352068548,1.46244653967109
"108","पहवा",1.10345139230444,1.7262020481137,1.92211307788582,1.41482672020907,0.813179622394926
"109","अमनप्रीत",1.47142817759903,1.7262020481137,3.34275297665303,1.59881511285636,1.00001401554103
"110","स्टारकास्ट",1.77245817326301,2.12414205678573,2.24550773052767,1.94830011502437,1.35490498096674
"111","पंघाल",1.98805797360237,1.7262020481137,2.9517937414082,1.85713001085803,1.26232462391325
"112","स्याना",2.65975389307172,2.46656473760794,3.33148254833863,2.56315931533983,1.97927505077573
"113","गवाहों",3.21179086709327,2.8565358166087,3.9112806252996,3.03416334185099,2.45756474175247
"114","सीजन",3.6993148822127,3.60701564039449,4.40504473079387,3.6531652613036,3.08614161181025
"115","पढ़ती",3.40157639732501,3.18104690812221,3.59690703024479,3.29131165272361,2.71869071779451
"116","भगुआ",1.10345139230444,2.42517205244971,1.70143968617739,1.76431172237707,1.16807058782064
"117","बानगी",3.06880990664922,2.95665096949197,3.67996565483875,3.0127304380706,2.43580030589023
"118","मार्किंग",2.47142817759903,2.65562097382799,3.09726175495043,2.56352457571351,1.97964596113195
"119","पीतल",3.44257143757656,3.0686247289359,3.72602519041388,3.25559808325623,2.68242471762726
"120","बैंड्स",1.22839012891273,1.7262020481137,1.94279767674567,1.47729608851322,0.876615289990002
"121","तफरी",3.12048473160322,3.0686247289359,4.28778365453131,3.09455473026956,2.51889028650063
"122","सुश्री",3.81243851739798,3.09726991038543,3.58998345745834,3.45485421389171,2.88476301577895
"123","भादो",2.69078812681169,1.90229330716938,3.16444438193786,2.29654071699053,1.70853229734809
"124","सफेदाबाद",1.40448138796842,1.7262020481137,2.23704168306636,1.56534171804106,0.966022841875816
"125","अनूभूति",1.22839012891273,1.7262020481137,1.40040969051341,1.47729608851322,0.876615289990002
"126","छांटने",2.17039818193505,1.90229330716938,2.32913761451963,2.03634574455221,1.44431253285256
"127","नमूदार",1.80242139664045,1.7262020481137,1.86963446438704,1.76431172237707,1.16807058782064
"128","डीएनडी",2.24957942798267,1.7262020481137,3.29039240201668,1.98789073804818,1.39510800638862
"129","वाचिका",1.40448138796842,2.42517205244971,2.3359986495036,1.91482672020907,1.32091380730153
"130","कमीशन",4.14772976570015,4.18256808124274,4.27950557001348,4.16514892347144,3.60604482660283
"131","जितेन्द्र",3.10345139230443,2.82311206112175,4.51538112999465,2.96328172671309,2.38558670357867
"132","खास्ता",2.02427014625681,2.7262020481137,2.45854833382146,2.37523609718525,1.78844496678625
"133","गेजेट",1.22839012891273,1.7262020481137,1.40040969051341,1.47729608851322,0.876615289990002
"134","फ्लाईओवर",3.44455603119873,2.84014540042053,3.94070533779468,3.14235071580963,2.56742559802062
"135","बेचैनी",3.72045173342533,3.62656917677017,3.75591816084298,3.67351045509775,3.10680151258594
"136","नियमित",4.79934148709212,3.95665096949197,4.92193649952115,4.37799622829205,3.82218453224815
"137","मुश्त",2.96875281840698,2.37941456188904,3.29084581547207,2.67408369014801,2.09191524483474
"138","भुनाए",0.927360133248754,1.90229330716938,1.3885104672137,1.41482672020907,0.813179622394926
"139","एडवाईस",0.927360133248754,1.7262020481137,1.92562965160865,1.32678109068122,0.723772070509113
"140","गुण्डी",0.927360133248754,1.90229330716938,1.48542048022176,1.41482672020907,0.813179622394926
"141","मंगेतर",2.97463500063293,2.20332330283336,2.94481296798099,2.58897915173315,2.00549427794689
"142","सर्वर",3.16790938153135,3.0686247289359,3.77993569340973,3.11826705523363,2.54296940247638
"143","विहित",2.10345139230443,1.90229330716938,3.07821387052245,2.00287234973691,1.41032135918734
"144","ग्लेन",2.11769183141905,1.7262020481137,2.20695631245652,1.92194693976637,1.3281441650481
"145","यन्त्रों",1.10345139230444,1.7262020481137,1.56460172626939,1.41482672020907,0.813179622394926
"146","रोहता",1.22839012891273,1.7262020481137,2.4353523390666,1.47729608851322,0.876615289990002
"147","समाग्री",2.02427014625681,1.90229330716938,2.56540523155299,1.96328172671309,1.37011833376546
"148","बीआई",1.22839012891273,1.90229330716938,1.92562965160865,1.56534171804106,0.966022841875816
"149","सिलेट",1.32530014192079,1.7262020481137,1.77172721906504,1.52575109501724,0.925819816453936
"150","टर्मिनेशन",1.98805797360237,1.90229330716938,2.09702578945595,1.94517564038587,1.35173217579906
"151","लॉकेशन",0.927360133248754,1.7262020481137,1.23014797511845,1.32678109068122,0.723772070509113
"152","बजरंगवली",2.07348816892699,1.7262020481137,2.24550773052767,1.89984510852034,1.30570045450281
"153","फोरेक्स",1.10345139230444,1.7262020481137,1.92911797945447,1.41482672020907,0.813179622394926
"154","ऋषव",1.22839012891273,1.7262020481137,1.79124935876751,1.47729608851322,0.876615289990002
"155","पीएससी",2.82772726190522,2.42517205244971,3.0569999229391,2.62644965717747,2.04354439102652
"156","जोनी",2.26978281407096,2.95665096949197,3.36061040440003,2.61321689178146,2.03010693632172
"157","घटन",1.47142817759903,1.90229330716938,2.07025406957521,1.6868607423842,1.08942156742684
"158","रोककर",3.52887691689876,3.35967050369328,4.14311359582256,3.44427371029602,2.87401884904084
"159","कलाकृतियां",2.43924349422763,1.90229330716938,3.04118648372267,2.1707684006985,1.58081448835539
"160","सामू",1.74027348989161,1.7262020481137,2.32775230399287,1.73323776900265,1.13651597104386
"161","कंसल्टिंग",2.10345139230443,1.90229330716938,2.00539423485869,2.00287234973691,1.41032135918734
"162","मैला",3.34731588173851,3.17336007945591,3.28060506990418,3.26033798059721,2.68723793345319
"163","मुरीदों",2.08872813548373,1.7262020481137,2.28857399957546,1.90746509179871,1.3134383065005
"164","फलू",0.927360133248754,1.7262020481137,1.79599579379197,1.32678109068122,0.723772070509113
"165","एलियस",0.927360133248754,1.7262020481137,1.50430582438213,1.32678109068122,0.723772070509113
"166","शेरपुर",2.30757137496036,1.7262020481137,3.80199650386136,2.01688671153703,1.42455250031848
"167","सत्यभामा",1.8304501202407,2.02723204377768,2.7502383032313,1.92884108200919,1.33514494843267
"168","पतरस",1.10345139230444,2.02723204377768,2.69493549476439,1.56534171804106,0.966022841875816
"169","मुजारा",0.927360133248754,1.90229330716938,1.40040969051341,1.41482672020907,0.813179622394926
"170","शिवा",3.67632299450492,3.71072936145749,3.94023147579251,3.6935261779812,3.12712684607303
"171","नौवा",1.8304501202407,2.02723204377768,2.30496441576363,1.92884108200919,1.33514494843267
"172","वकील",4.66961380315535,4.57715444790719,4.59666058388666,4.62338412553127,4.07136818022955
"173","फिनिशिंग",1.667722822743,2.20332330283336,2.71643673607902,1.93552306278818,1.34193028856144
