"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","पहलकदमी",1.85677905896305,1.7262020481137,2.33463508643085,1.79149055353837,1.19566983119343
"2","मैगनेट",1.22839012891273,1.7262020481137,2.13540402386691,1.47729608851322,0.876615289990002
"3","कुंड",3.11205156406635,2.96924009679999,3.92859651313378,3.04064583043317,2.46414750386535
"4","अप्रयुक्त",1.5805726470241,1.7262020481137,1.64512132308927,1.6533873475689,1.05543039376163
"5","रूट्स",2.40448138796842,1.7262020481137,2.24382767240965,2.06534171804106,1.47375702678242
"6","दिनदयाल",2.00654137929638,1.7262020481137,2.13540402386691,1.86637171370504,1.27170928083759
"7","रोहता",1.22839012891273,1.7262020481137,2.4353523390666,1.47729608851322,0.876615289990002
"8","विक्ट्री",2.55574906329907,2.02723204377768,2.56540523155299,2.29149055353837,1.70340401610003
"9","बिंदुओं",3.22621320965846,2.93032203076962,4.14691765940159,3.07826762021404,2.50235124140359
"10","पुरूस्कृत",1.10345139230444,1.7262020481137,1.60305997808856,1.41482672020907,0.813179622394926
"11","मेवा",3.1628885801563,2.95665096949197,3.62305587041185,3.05976977482414,2.48356726450044
"12","गणपत",2.95470974102351,2.32826203944166,3.09584403503453,2.64148589023258,2.05881321009513
"13","सिल्ली",2.59945799118447,2.20332330283336,3.49411525921244,2.40139064700891,1.81500408485888
"14","अतिसंवेदनशील",2.14484407746266,2.27027009246397,3.67187452332885,2.20755708496332,1.61817223359335
"15","टिंगल",2.21739474461127,1.7262020481137,1.90039382819258,1.97179839636248,1.37876674241057
"16","वायरोलॉजी",2.32530014192079,2.02723204377768,2.09465905617685,2.17626609284923,1.58639722084143
"17","गुलावठी",1.80242139664045,1.90229330716938,3.47278877293607,1.85235735190492,1.25747813970645
"18","रियासत",3.50542601708485,3.42949342623236,3.57681384186066,3.4674597216586,2.89756351020167
"19","खुटी",1.52942012457672,1.90229330716938,1.68954046287769,1.71585671587305,1.11886606135671
"20","कार्यकताओं",3.02945065876059,2.50435329849734,3.34913977531443,2.76690197862896,2.18616928092735
"21","लगवाये",2.95470974102351,3.03795590916945,3.0080095992947,2.99633282509648,2.41914904857458
"22","अधिकांशत",1.88160264268808,2.32826203944166,2.86037238587089,2.10493234106487,1.5139600522043
"23","उपलब्धिया",3.00834718015964,2.37941456188904,2.70726922983812,2.69388087102434,2.11201865582613
"24","भुटटो",0.927360133248754,1.90229330716938,1.64512132308927,1.41482672020907,0.813179622394926
"25","जोगिंग",1.80242139664045,1.90229330716938,1.83220796644642,1.85235735190492,1.25747813970645
"26","एसयूवी",2.48965299770523,1.90229330716938,2.65698442892196,2.1959731524373,1.60640911651514
"27","डीएमसी",1.40448138796842,1.90229330716938,3.42505064957752,1.6533873475689,1.05543039376163
"28","देसवाल",2.45883905029101,1.7262020481137,3.04412905075493,2.09252054920235,1.50135627015521
"29","बिल्लु",1.52942012457672,1.7262020481137,2.15442726118034,1.62781108634521,1.02945850947089
"30","संस्मरण",2.65571391526998,2.32826203944166,3.04145481519979,2.49198797735582,1.90700280821568
"31","हन्नान",2.59481308613871,1.90229330716938,2.6889368568293,2.24855319665404,1.65980248830061
"32","बीसीसी",1.40448138796842,2.12414205678573,2.90002247760826,1.76431172237707,1.16807058782064
"33","स्त्राव",1.98805797360237,1.90229330716938,2.37998267183424,1.94517564038587,1.35173217579906
"34","माइक्रोस्कोप",2.26978281407096,1.90229330716938,2.44710518247955,2.08603806062017,1.49477350804233
"35","हैकरों",2.11769183141905,2.27027009246397,2.41313294212204,2.19398096194151,1.60438611008001
"36","अंडरवेट",0.927360133248754,1.90229330716938,1.36368688348867,1.41482672020907,0.813179622394926
"37","अगवान",1.10345139230444,1.7262020481137,1.86563172193337,1.41482672020907,0.813179622394926
"38","तजवीज",1.7055113836324,1.90229330716938,1.9814270791018,1.80390234540089,1.20827361324252
"39","देहात",3.8526722247484,3.60701564039449,4.6156541528576,3.72984393257144,3.16400637712206
"40","चौरानबे",0.927360133248754,1.90229330716938,1.67730600646067,1.41482672020907,0.813179622394926
