"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","उपचार",4.49749427038772,4.08603753045358,5.18540650933033,4.29176590042065,3.73462036177612
"2","एवर",2.04130348555559,2.37941456188904,2.15235425255747,2.21035902372231,1.62101751377727
"3","अंधता",1.7055113836324,1.90229330716938,2.94279767674567,1.80390234540089,1.20827361324252
"4","मंदिरों",4.73503043447924,4.41948920511935,4.65980337565839,4.57725981979929,4.02453040667914
"5","कर्मचारियो",3.39199869234379,2.78689988846731,3.10889949529146,3.08944929040555,2.51370587380475
"6","मशकूर",2.58537152990587,1.7262020481137,2.74760780165869,2.15578678900978,1.56560113555667
"7","गुत्था",1.40448138796842,1.7262020481137,2.2635717306054,1.56534171804106,0.966022841875816
"8","मोदक",2.69451599933093,2.27027009246397,3.24667991607572,2.48239304589745,1.89725945880919
"9","श्रमण",2.10345139230443,2.27027009246397,2.38487618255861,2.1868607423842,1.59715575233344
"10","पूर्वानुमान",2.86687938586737,2.37941456188904,3.49590889183607,2.62314697387821,2.04019062060061
"11","न्योता",3.3226865263181,2.981474553217,3.73120723733621,3.15208053976755,2.57730592649375
"12","मेहर",3.52450662108245,3.2313520264336,3.85861864702519,3.37792932375803,2.80664822299685
"13","कैथोलिक",2.85932624797693,2.93032203076962,3.11933758716553,2.89482413937327,2.31607018896135
"14","हंडी",1.92736013324875,2.20332330283336,2.04969191066032,2.06534171804106,1.47375702678242
"15","अभिवृत्ति",0.927360133248754,1.7262020481137,1.2635717306054,1.32678109068122,0.723772070509113
"16","ऑडिट",3.75634208725668,3.25124685515054,3.72162173048913,3.50379447120361,2.93446029908971
"17","हासिम",1.667722822743,1.90229330716938,3.28029563313876,1.78500806495619,1.18908706908055
"18","चौमिन",1.32530014192079,1.7262020481137,1.50430582438213,1.52575109501724,0.925819816453936
"19","सटकर",1.62633013758477,1.7262020481137,2.87320565886991,1.67626609284923,1.07866303593483
"20","जुड़े",0.927360133248754,4.21121326269227,4.96452530186148,2.56928669797051,1.98549721402693
"21","कार्याें",2.35872389740774,1.7262020481137,3.55393616501921,2.04246297276072,1.45052438460922
"22","दूरभाष",3.04463142890452,2.12414205678573,4.07875578418824,2.58438674284513,2.00083083197986
"23","ऊना",3.13283516998964,2.68044455755302,4.40943543260032,2.90663986377133,2.32806868335401
"24","नेऊरा",1.10345139230444,1.7262020481137,1.7564872525083,1.41482672020907,0.813179622394926
"25","जनतक",1.47142817759903,1.7262020481137,2.33735794476632,1.59881511285636,1.00001401554103
"26","स्कोर्पियो",2.24957942798267,1.7262020481137,2.38121122847221,1.98789073804818,1.39510800638862
"27","सीडी",3.19687307746667,3.28250454888098,4.1239097371764,3.23968881317383,2.66626935707176
"28","लाइटें",2.76620922398601,1.90229330716938,4.11634531143343,2.33425126557769,1.74682616664665
"29","बेघरों",2.8249872245392,2.20332330283336,3.0569999229391,2.51415526368628,1.92951298632885
"30","शादीलाल",0.927360133248754,1.7262020481137,2.51615509719793,1.32678109068122,0.723772070509113
"31","फराज",2.74027348989161,3.03795590916945,2.98571795574725,2.88911469953053,2.3102724333917
"32","अधीन",3.8892556069166,3.9741753144755,4.41699134544293,3.93171546069605,3.36900052869846
"33","खरे",3.79098035351907,3.70392565340254,3.85722693872918,3.74745300346081,3.18188783163201
"34","बसाती",1.47142817759903,1.7262020481137,1.513449203822,1.59881511285636,1.00001401554103
"35","मोहरत",1.22839012891273,1.90229330716938,1.80533582004612,1.56534171804106,0.966022841875816
"36","मार्जन",1.667722822743,2.02723204377768,2.15649042174411,1.84747743326034,1.25252273667562
"37","लमती",0.927360133248754,1.7262020481137,1.33735794476632,1.32678109068122,0.723772070509113
"38","चंपत",3.51675115638569,3.47825049593313,3.59119551331404,3.49750082615941,2.9280693016165
"39","लाभार्थियों",3.58489402080674,2.12414205678573,4.40836496156851,2.85451803879624,2.27514061871486
"40","सावधि",1.32530014192079,1.90229330716938,2.53721592577975,1.61379672454508,1.01522736833975
"41","मिट्टीतेल",1.10345139230444,1.7262020481137,1.61035921683006,1.41482672020907,0.813179622394926
"42","रोटरी",2.52942012457672,2.27027009246397,4.24624490211133,2.39984510852034,1.81343463940941
"43","देवगढ़",2.35060600718556,2.20332330283336,2.92211307788582,2.27696465500946,1.68865342560081
"44","बिखेरेगी",1.22839012891273,1.7262020481137,1.98449631082947,1.47729608851322,0.876615289990002
"45","शुभारम्भ",3.36272663986141,2.02723204377768,3.74850396100955,2.69497934181955,2.11313411817382
