"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","भांती",2.41872182708303,2.6012633115054,2.87477782674993,2.50999256929421,3.06309833665735
"2","रडार",3.28434153424188,3.45859580793666,3.45456142336674,3.37146867108927,3.5530585295003
"3","मांय",2.33390031368271,2.02723204377768,2.77786781374188,2.18056617873019,2.8757387366499
"4","लूंगी",3.43318816710359,3.52897577340567,3.70728673945617,3.48108197025463,3.61540054117689
"5","भुलाय",2.22839012891273,1.90229330716938,2.47683781807789,2.06534171804106,2.81020540512527
"6","बोंड",1.9050837385376,2.74739134718363,2.47683781807789,2.32623754286062,2.9585885911175
"7","ड्रींक",0.927360133248754,1.90229330716938,2.65292907713358,1.41482672020907,2.44022827735485
"8","चौकशी",3.68551475521614,2.78689988846731,3.96819951191217,3.23620732184173,3.47612931855245
"9","इकतरफा",2.35060600718556,2.88757005034867,2.95395907279756,2.61908802876712,3.1251458296177
"10","मंगती",1.32530014192079,1.7262020481137,2.95395907279756,1.52575109501724,2.5033159566982
"11","इस्लिये",1.74027348989161,2.87233008379193,3.07889780940586,2.30630178684177,2.94725023031665
"12","सत्यभामा",1.8304501202407,2.02723204377768,2.47683781807789,1.92884108200919,2.73257135606227
"13","सांवरे",2.98616561992466,2.12414205678573,2.65292907713358,2.5551538383552,3.08878358091665
"14","साउदी",2.86687938586737,3.02723204377768,3.02090586242817,2.94705571482252,3.31167579878472
"15","खिला़फ",1.47142817759903,2.02723204377768,2.87477782674993,1.74933011068835,2.63047539548657
"16","परिणाम्",1.47142817759903,1.7262020481137,2.65292907713358,1.59881511285636,2.54487074875307
"17","क्रेडिट",4.72135993423322,4.01400377804392,4.07889780940586,4.36768185613857,4.11964975964863
"18","सन्मति",2.9050837385376,2.78689988846731,2.87477782674993,2.84599181350245,3.25419621406141
"19","हिमाद्री",1.667722822743,1.7262020481137,2.47683781807789,1.69696243542835,2.60069154400692
"20","टपोरी",2.78166617504983,3.42080724704726,3.28975117472075,3.10123671104855,3.3993654636358
"21","रिपेयरिंग",2.39718214922692,2.6012633115054,2.95395907279756,2.49922273036616,3.05697304502467
"22","हसि",2.19453186165177,2.88757005034867,2.87477782674993,2.54105095600022,3.08076263762653
"23","रुपांतरण",1.32530014192079,2.02723204377768,2.77786781374188,1.67626609284923,2.5889206034317
"24","खांट",2.18263263835206,1.90229330716938,2.47683781807789,2.04246297276072,2.79719323400851
"25","सेल्स",3.05446493161356,3.04842134284761,3.71987586676419,3.05144313723059,3.37104561938318
"26","मुसकुरा",1.96875281840698,1.7262020481137,3.02090586242817,1.84747743326034,2.68629619074042
"27","घटकों",2.22839012891273,1.7262020481137,3.02090586242817,1.97729608851322,2.76012989689869
"28","सोरठा",1.5805726470241,1.90229330716938,2.87477782674993,1.74143297709674,2.62598394054151
"29","सिलाउन",1.77245817326301,1.7262020481137,2.65292907713358,1.74933011068835,2.63047539548657
"30","तांबडे",1.32530014192079,1.7262020481137,2.47683781807789,1.52575109501724,2.5033159566982
"31","ग्लेन",2.11769183141905,1.7262020481137,2.47683781807789,1.92194693976637,2.72865034739385
"32","रमाकांत",2.8358451521274,2.12414205678573,3.35189908146959,2.47999360445657,3.04603657653851
"33","तालाबो",1.74027348989161,1.90229330716938,2.47683781807789,1.82128339853049,2.67139846545143
"34","फुफी",1.9050837385376,2.20332330283336,2.47683781807789,2.05420352068548,2.80387061149271
"35","पैविलियन",1.22839012891273,1.7262020481137,2.47683781807789,1.47729608851322,2.47575741586178
"36","भाऊंचा",1.80242139664045,1.7262020481137,2.47683781807789,1.76431172237707,2.63899611165827
"37","पृथ्वीराज",4.29256723348058,4.02614494813646,3.55601906412552,4.15935609080852,4.00116553014698
"38","तोडकर",2.8887812273152,3.19602406409186,3.17580782241391,3.04240264570353,3.3659038853725
"39","धाँधली",2.8887812273152,2.74739134718363,2.87477782674993,2.81808628724942,3.23832508659097
"40","बेड़ियाँ",2.60405374287362,2.42517205244971,3.17580782241391,2.51461289766167,3.06572612513947
"41","बीनी",1.22839012891273,1.90229330716938,2.87477782674993,1.56534171804106,2.52583292408835
"42","११००",2.15780905462703,2.02723204377768,2.77786781374188,2.09252054920235,2.82566322842332
"43","गंवाता",1.77245817326301,1.90229330716938,2.47683781807789,1.83737574021619,2.68055090371315
"44","राकेट",3.14352603553475,3.61269277328618,3.79905711281181,3.37810940441046,3.55683541312121
"45","व्यापारीकरण",1.80242139664045,1.7262020481137,2.65292907713358,1.76431172237707,2.63899611165827
"46","रेलमार्ग",2.46517922832203,1.7262020481137,2.65292907713358,2.09569063821786,2.82746620058021
"47","फ़ासिज़्म",3.25369599417751,1.7262020481137,2.65292907713358,2.4899490211456,3.05169866962574
"48","गतीने",2.15780905462703,1.90229330716938,3.21720050757214,2.0300511808982,2.7901340899164
"49","मुल्लाजी",2.02427014625681,2.50435329849734,2.47683781807789,2.26431172237707,2.9233685926952
"50","बरतनों",1.10345139230444,1.90229330716938,2.87477782674993,1.50287234973691,2.49030378558143
"51","सिस्टर्स",2.23911399430451,1.90229330716938,2.77786781374188,2.07070365073694,2.81325497733304
"52","घटाई",2.77245817326301,2.6012633115054,2.77786781374188,2.6868607423842,3.16369121905349
"53","पाल्सी",1.47142817759903,2.02723204377768,2.65292907713358,1.74933011068835,2.63047539548657
"54","अकादमिक",2.9073635048325,2.42517205244971,3.43108032751722,2.66626777864111,3.15197907467043
"55","गैरबराबरी",2.39718214922692,2.02723204377768,3.25498906846154,2.2122070965023,2.89373434922817
"56","सेनिक",2.46517922832203,2.8565358166087,2.65292907713358,2.66085752246536,3.14890201872695
"57","दुराचारी",3.03962990166602,3.2313520264336,3.43108032751722,3.13549096404981,3.41884739745987
"58","डलिया",2.02427014625681,2.12414205678573,2.87477782674993,2.07420610152127,2.81524697857154
"59","अभिनेते",2.9316815070314,2.02723204377768,2.77786781374188,2.47945677540454,3.04573125771967
"60","हाईजेक",2.00654137929638,2.53911540475655,2.47683781807789,2.27282839202647,2.92821240565193
"61","प्रतीकों",3.16035624364091,3.13274222854765,3.84790568034963,3.14654923609428,3.42513673397441
"62","गिरने",4.34208285440763,4.08508825251956,4.36049925323151,4.2135855534636,4.03200826382803
"63","बावजुद",2.9316815070314,3.1494479220505,2.87477782674993,3.04056471454095,3.36485857128314
"64","द्रविड",2.11769183141905,2.27027009246397,3.37992780506984,2.19398096194151,2.88336832701864
"65","शिवहर",2.80242139664045,2.02723204377768,2.77786781374188,2.41482672020907,3.00897323942869
"66","चेरी",2.40448138796842,2.53911540475655,3.49802711714783,2.47179839636248,3.04137559322185
"67","माध्यमं",1.7055113836324,1.7262020481137,2.65292907713358,1.71585671587305,2.61143757082185
"68","असामाजिकता",1.32530014192079,1.90229330716938,2.77786781374188,1.61379672454508,2.55339146492478
"69","साप",3.23805344559211,3.83000576906965,3.51823050323612,3.53402960733088,3.64551424301773
"70","भूटान",3.75083436241905,3.55227685081452,3.37992780506984,3.65155560661679,3.71235656302428
"71","अपनाते",3.39938483094904,3.55227685081452,3.78859167913365,3.47583084088178,3.61241398780089
"72","कोलाबा",1.8304501202407,1.90229330716938,3.13005033185324,1.86637171370504,2.69704221755535
"73","सिंधुर",1.47142817759903,1.7262020481137,2.87477782674993,1.59881511285636,2.54487074875307
"74","बोगियों",2.05769390174376,2.20332330283336,2.77786781374188,2.13050860228856,2.84726874223509
"75","गान्धीवादी",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"76","पिक्चर",3.84800513465554,4.13782175407693,4.07889780940586,3.99291344436623,3.90650211350869
"77","कुचाग्र",1.47142817759903,1.90229330716938,2.47683781807789,1.6868607423842,2.59494625697965
"78","नाबूत",1.7055113836324,2.37941456188904,2.47683781807789,2.04246297276072,2.79719323400851
"79","मिलावटी",2.91636474894729,3.49705405975584,3.43108032751722,3.20670940435157,3.45935252658825
"80","विवेकहीनता",1.52942012457672,2.20332330283336,2.65292907713358,1.86637171370504,2.69704221755535
"81","उंको",0.927360133248754,2.27027009246397,2.47683781807789,1.59881511285636,2.54487074875307
"82","वोल्टेज",2.88640152556985,2.6012633115054,2.95395907279756,2.74383241853762,3.19609357284665
"83","टाँक",2.02427014625681,1.90229330716938,2.77786781374188,1.96328172671309,2.7521592992282
"84","खीचती",1.32530014192079,1.90229330716938,2.47683781807789,1.61379672454508,2.55339146492478
"85","लड़",4.93527852389435,4.60787195578576,4.36049925323151,4.77157523984005,4.3493620868438
"86","मधेपुरा",3.34648944099073,2.80538329416132,3.02090586242817,3.07593636757602,3.38497602074707
"87","सेवाऔर",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"88","लगवाए",3.59387811380363,3.54244334810548,3.25498906846154,3.56816073095456,3.66492614762861
"89","सीटें",4.30210847925886,4.08887297783936,4.14893567601361,4.19549072854911,4.02171692331831
"90","टाना",1.96875281840698,1.90229330716938,3.07889780940586,1.93552306278818,2.736371698967
"91","जितवाया",2.18263263835206,2.7262020481137,2.65292907713358,2.45441734323288,3.03149020681885
"92","लाईटें",1.667722822743,1.7262020481137,2.77786781374188,1.69696243542835,2.60069154400692
"93","करवातें",1.47142817759903,1.90229330716938,2.47683781807789,1.6868607423842,2.59494625697965
"94","लादना",1.5805726470241,2.32826203944166,3.02090586242817,1.95441734323288,2.74711772578193
