"","word","twitter_zipf","youtube_zipf","shabd_zipf","twitter_youtube_zipf_avg","lm_preds_shabd_YT"
"1","हलख",1.22839012891273,1.7262020481137,1.42327257347292,1.47729608851322,0.876615289990002
"2","निर्दलीय",3.43588985222004,3.42080724704726,4.15942381555278,3.42834854963365,2.85784735210401
"3","नैनो",3.3226865263181,3.09726991038543,3.43034161225965,3.20997821835177,2.63609918778163
"4","रानो",1.9050837385376,1.90229330716938,2.51794970504868,1.90368852285349,1.3096033201902
"5","गोरखपुरिया",1.7055113836324,1.90229330716938,2.06265688782469,1.80390234540089,1.20827361324252
"6","बंगाला",1.7055113836324,2.27027009246397,1.90039382819258,1.98789073804818,1.39510800638862
"7","जमानत",4.68891212181294,4.31670951012228,4.74061791559359,4.50281081596761,3.94892979812395
"8","कवर्ड",1.667722822743,2.02723204377768,2.80625886923929,1.84747743326034,1.25252273667562
"9","हनी",3.12738939980252,3.49335791419588,3.77137764607159,3.3103736569992,2.73804758020162
"10","सुपरविजन",1.9050837385376,1.90229330716938,2.82076692332503,1.90368852285349,1.3096033201902
"11","मेहनताना",2.84117398563247,2.7262020481137,3.36406991554223,2.78368801687308,2.20321497181873
"12","छा",4.02790298326122,4.24207589182537,4.11550919514997,4.1349894375433,3.57541882259297
"13","दुगोला",0.927360133248754,1.7262020481137,1.87360065160464,1.32678109068122,0.723772070509113
"14","कॉपियों",2.04130348555559,1.7262020481137,3.32664086517282,1.88375276683464,1.28935919052475
"15","रैंकों",1.47142817759903,1.90229330716938,1.76670641768998,1.6868607423842,1.08942156742684
"16","जसराना",2.22839012891273,1.90229330716938,3.48173753239424,2.06534171804106,1.47375702678242
"17","शस्त्रधारी",1.667722822743,2.02723204377768,2.16866770029495,1.84747743326034,1.25252273667562
"18","कृणाल",1.32530014192079,2.02723204377768,1.66471687915265,1.67626609284923,1.07866303593483
"19","असानी",1.77245817326301,2.82311206112175,2.38609099309029,2.29778511719238,1.70979594639245
"20","मनोहरी",1.32530014192079,1.7262020481137,2.32913761451963,1.52575109501724,0.925819816453936
"21","अमरिन्दर",2.18263263835206,2.02723204377768,2.49684994200254,2.10493234106487,1.5139600522043
"22","मार्ग",4.78203046514409,4.70117404241176,5.54250307654702,4.74160225377793,4.19141495020255
"23","बंधता",1.9050837385376,2.02723204377768,1.96892853360282,1.96615789115764,1.37303898778528
"24","कथावाचन",2.04130348555559,2.53911540475655,2.31508155005517,2.29020944515607,1.7021030910595
"25","अप्रशिक्षित",2.6637566355254,1.90229330716938,3.41027385028251,2.28302497134739,1.69480748515303
"26","बारीकियों",2.22839012891273,2.90229330716938,3.46809365172769,2.56534171804106,1.98149121168902
"27","पीओजेके",1.40448138796842,1.7262020481137,1.49496579812799,1.56534171804106,0.966022841875816
"28","अदा",4.33906399665472,4.29499026042904,4.61529647920171,4.31702712854188,3.76027233991587
"29","एसिया",2.29842799552049,2.53911540475655,2.50059388313642,2.41877170013852,1.83265399454604
"30","बोमन",1.667722822743,1.7262020481137,2.05751724817228,1.69696243542835,1.09967951719473
"31","जुत्ती",2.05769390174376,1.7262020481137,1.80993157173526,1.89194797492873,1.29768116512833
"32","अवार्डी",2.19453186165177,2.20332330283336,3.37751508291224,2.19892758224256,1.60940924653321
"33","टेम्पु",1.8304501202407,2.02723204377768,2.08506099742631,1.92884108200919,1.33514494843267
"34","पंजीरी",2.36669282707902,2.57130008812795,2.94748555784232,2.46899645760348,1.88365564713325
"35","दहे",1.77245817326301,1.90229330716938,1.78159797309133,1.83737574021619,1.24226478690773
"36","रोधक",2.07348816892699,2.02723204377768,2.57650094956909,2.05036010635233,1.4585436739837
"37","नेसा",0.927360133248754,1.90229330716938,1.64512132308927,1.41482672020907,0.813179622394926
"38","हलवाई",3.31563899670839,2.99337377651671,3.6551602069939,3.15450638661255,2.57976929723485
