"","word","twitter_zipf","youtube_zipf","wordlex_blog_zipf","twitter_youtube_zipf_avg","lm_preds_blog_YT"
"1","लगायो",2.60860137062434,2.02723204377768,2.65292907713358,2.31791670720101,2.95385615775585
"2","राजसि",1.5805726470241,1.7262020481137,2.47683781807789,1.6533873475689,2.57590843231493
"3","कुरालाई",2.94019735795393,1.7262020481137,2.47683781807789,2.33319970303381,2.96254828464115
"4","काती",1.77245817326301,2.02723204377768,2.65292907713358,1.89984510852034,2.71608004222007
"5","उपदेश",4.47377940008395,3.98267925435537,4.32809616679697,4.22822932721966,4.04033683637754
"6","हार्लिक्स",1.32530014192079,1.7262020481137,2.47683781807789,1.52575109501724,2.5033159566982
"7","राइटस",1.32530014192079,1.90229330716938,2.47683781807789,1.61379672454508,2.55339146492478
"8","वासियाें",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"9","हीलिंग",2.50714372986556,2.53911540475655,2.65292907713358,2.52312956731106,3.07056993809621
"10","सुषमा",4.26531829692845,4.04112210410612,3.89181116604871,4.15322020051729,3.997675773456
"11","मिसाईल",2.75666390607978,3.23808540909257,2.95395907279756,2.99737465758617,3.34029444397843
"12","पक्षकारों",2.52395722887521,1.90229330716938,2.65292907713358,2.2131252680223,2.89425655465449
"13","क्लर्क",3.66255968167107,3.2313520264336,3.86600390244243,3.44695585405233,3.59599148451169
"14","वमा",1.47142817759903,1.90229330716938,2.47683781807789,1.6868607423842,2.59494625697965
"15","टोकन",2.93382617549799,2.99337377651671,3.13005033185324,2.96359997600735,3.32108526398483
"16","फासीवादियों",1.77245817326301,1.90229330716938,2.65292907713358,1.83737574021619,2.68055090371315
"17","समर्थकांनी",2.35872389740774,1.7262020481137,2.47683781807789,2.04246297276072,2.79719323400851
"18","इख्लास",1.40448138796842,1.90229330716938,2.47683781807789,1.6533873475689,2.57590843231493
"19","कीचङ",1.22839012891273,2.02723204377768,2.47683781807789,1.62781108634521,2.56136206259527
"20","बाबर",4.53577918456604,4.32169826993927,3.78859167913365,4.42873872725265,4.15437554749475
"21","सावघानी",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"22","सूडान",3.18503870811794,3.25768096515595,3.13005033185324,3.22135983663694,3.46768488614276
"23","भारतविरोधी",2.26978281407096,2.27027009246397,3.02090586242817,2.27002645326747,2.92661881709871
"24","फेंकों",1.52942012457672,2.37941456188904,2.47683781807789,1.95441734323288,2.74711772578193
"25","सहिता",1.667722822743,2.57130008812795,2.47683781807789,2.11951145543548,2.84101417036521
"26","इन्तहां",2.56082858882834,1.90229330716938,2.47683781807789,2.23156094799886,2.90474175476357
"27","बुलवाओ",1.667722822743,2.46656473760794,2.65292907713358,2.06714378017547,2.81123031888557
"28","रोंके",2.24957942798267,1.7262020481137,2.65292907713358,1.98789073804818,2.76615555044665
"29","हांकी",1.667722822743,2.62929203510564,2.65292907713358,2.14850742892432,2.85750548420742
"30","ताईला",2.38975813114771,1.7262020481137,2.87477782674993,2.0579800896307,2.80601851605423
"31","फरमाता",2.63916736228994,2.68044455755302,2.77786781374188,2.65980595992148,3.14830394782781
"32","सियापा",2.47758848630385,2.42517205244971,2.65292907713358,2.45138026937678,3.02976288636375
"33","एप्रिल",3.77585715133912,2.82311206112175,3.47683781807789,3.29948460623044,3.51211795526224
"34","विचलीत",1.74027348989161,2.27027009246397,2.95395907279756,2.00527179117779,2.77604093684965
"35","नुकसानदायक",2.62196533218232,3.09726991038543,3.25498906846154,2.85961762128388,3.26194582359128
"36","चढ़ाएंगे",2.24957942798267,2.32826203944166,2.47683781807789,2.28892073371217,2.93736484391365
"37","बनवावे",1.52942012457672,2.32826203944166,2.65292907713358,1.92884108200919,2.73257135606227
"38","साहबको",1.32530014192079,1.90229330716938,2.47683781807789,1.61379672454508,2.55339146492478
"39","मंत्रीमण्डल",1.77245817326301,2.37941456188904,3.07889780940586,2.07593636757602,2.81623105867323
"40","बायोगैस",2.25979859316436,2.20332330283336,2.47683781807789,2.23156094799886,2.90474175476357
"41","समर्थवान",1.94854943231869,2.02723204377768,2.47683781807789,1.98789073804818,2.76615555044665
"42","तवान",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"43","अश्लील",4.25563777765852,3.96924009679999,4.20111368767868,4.11243893722926,3.97448163541393
"44","मकिन",1.10345139230444,1.7262020481137,2.47683781807789,1.41482672020907,2.44022827735485
"45","रूपी",4.52996265366901,4.34267756200226,4.18864504711908,4.43632010783564,4.15868741950689
"46","खीचने",2.71975182274701,3.15756581227268,2.95395907279756,2.93865881750984,3.30690010574109
"47","त्रिफला",2.48366263401604,2.53911540475655,2.77786781374188,2.5113890193863,3.06389256061201
"48","मरहमपट्टी",1.22839012891273,1.90229330716938,2.77786781374188,1.56534171804106,2.52583292408835
"49","मैटीरियल",1.47142817759903,2.46656473760794,2.47683781807789,1.96899645760348,2.75540952363171
"50","दानवों",2.87918316856467,2.90229330716938,3.07889780940586,2.89073823786702,3.27964551748957
"51","व्हीडियो",0.927360133248754,2.20332330283336,3.02090586242817,1.56534171804106,2.52583292408835
"52","हदीसें",1.40448138796842,2.68044455755302,3.28975117472075,2.04246297276072,2.79719323400851
"53","पहचाना",3.71940144396084,3.89938831652597,4.26571293385331,3.8093948802434,3.80212685471681
"54","पुरातात्विक",3.05929942845918,2.42517205244971,3.17580782241391,2.74223574045445,3.19518547023079
"55","माताएं",3.12738939980252,2.91653374628399,3.13005033185324,3.02196157304326,3.35427812827758
"56","सोएगा",3.24957942798267,2.62929203510564,2.87477782674993,2.93943573154416,3.30734197168407
"57","टिकोगे",2.38220499325726,2.02723204377768,2.47683781807789,2.20471851851747,2.88947525822621
"58","एडवोकेट्स",1.5805726470241,1.7262020481137,2.47683781807789,1.6533873475689,2.57590843231493
"59","सौंग्स",0.927360133248754,1.7262020481137,2.47683781807789,1.32678109068122,2.39015276912827
"60","राजाबाबू",2.29842799552049,2.50435329849734,2.77786781374188,2.40139064700891,3.00133154048605
"61","कहानीं",1.10345139230444,2.27027009246397,2.47683781807789,1.6868607423842,2.59494625697965
"62","हैद्राबाद",2.41872182708303,2.80538329416132,3.02090586242817,2.61205256062217,3.12114444255443
"63","जनित",2.97657815591894,2.68044455755302,3.62296585375613,2.82851135673598,3.24425429234072
"64","तालिब",2.72670068270234,2.8565358166087,2.77786781374188,2.79161824965552,3.22327152355346
"65","हिम्मती",2.91858620894125,3.12414205678573,3.07889780940586,3.02136413286349,3.3539383371852
"66","हरजाना",1.92736013324875,2.53911540475655,2.95395907279756,2.23323776900265,2.90569543826178
"67","चटकाय",2.35872389740774,1.90229330716938,2.65292907713358,2.13050860228856,2.84726874223509
"68","आस्ता",1.47142817759903,2.12414205678573,2.47683781807789,1.79778511719238,2.65803393632299
"69","विद्वज्जन",1.10345139230444,2.02723204377768,2.77786781374188,1.56534171804106,2.52583292408835
"70","विवान",1.62633013758477,2.02723204377768,2.95395907279756,1.82678109068122,2.6745252501652
"71","आधात्म",1.10345139230444,1.7262020481137,2.65292907713358,1.41482672020907,2.44022827735485
"72","जाग",4.59649098062209,4.64449456086905,4.52020009609902,4.62049277074557,4.26343469368864
"73","बिगडते",2.18263263835206,2.12414205678573,3.17580782241391,2.1533873475689,2.86028091335185
"74","मोहजाल",1.94854943231869,2.37941456188904,2.47683781807789,2.16398199710387,2.8663065668998
"75","जोडा़",1.62633013758477,2.02723204377768,2.47683781807789,1.82678109068122,2.6745252501652
"76","आक्रमणकारियों",3.10489663317862,3.15756581227268,3.07889780940586,3.13123122272565,3.41642469104202
"77","प्रताडना",2.71975182274701,2.27027009246397,2.65292907713358,2.49501095760549,3.05457762048564
